"","PSU_ID","PSU","Historical R&S","Region","X_UTMNAD83","Y_UTMNAD83","Cy1_Year","Cy1_WYr","Cy1_Sampdates","Cy1_NumPlots","Cy2_Year","Cy2_WYr","Cy2_Sampdates","Cy2_NumPlots","Cy3_Year","Cy3_WYr","Cy3_Sampdates","Cy3_NumPlots"
"1","P000","0","Y","ENP_W",532345.5,2842696.3,1,"2012","3/20, 3/22, 3/27/2012",135,1,"2016","12/11, 12/14/2015; 03/11/2016",135,1,"2021, 2022","12/4, 12/9/2020, 11/17/2021",135
"2","P001","1","Y","WCA1",566677.9,2942982.1,1,"2010","40074",164,1,"2016","03/02, 03/04, 03/07/2016",113,1,"2021","10/30, 10/31/2020",117
"3","P002","2","Y","WCA3AS",525056.6,2861614.1,1,"2010","11/9, 11/23, 11/24/2009",159,1,"2016","09/28, 09/30/2015",129,1,"2021","12/12, 12/12/2020",132
"4","P003","3","Y","WCA3AN",532505.3,2910966.9,1,"2010","40060",80,1,"2016","02/23, 02/25/2016",71,1,"2021","44219",89
"5","P004","4","Y","WCA3AC",530756.4,2872127.6,1,"2010","7/28,7/29/2009",215,1,"2016","10/12, 11/02, 11/13/2015",121,1,"2021, 2022","12/16, 12/28/2020, 12/12/2021",132
"6","P005","5","Y","WCA2",566325.52,2914610.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","P006","6","Y","ENP_S",519649.4,2814585.3,1,"2010","10/24,10/28/2009",132,1,"2016","11/23, 11/25/2015",129,1,"2021, 2022","11/2, 12/2/2020, 12/22/2021",130
"8","P007","7","Y","WCA3AN",526262.4,2891226.1,1,"2010","40155",174,1,"2016","01/13, 01/25/2016",135,1,"2021","1/13, 1/15/2021",135
"9","P008","8","N","ENP",537019.49,2821237.51,1,"2012","11/30, 12/12, 12/16/2011",129,NA,NA,NA,NA,NA,NA,NA,NA
"10","P009","9","Y","WCA2A",557549.6,2919280.2,1,"2010","8/17, 8/18/2009",200,1,"2016","02/08, 02/10/2016",120,1,"2021","1/25, 1/27/2021",120
"11","P010","10","N","ENP",518729.07,2846327.59,1,"2012","4/19, 5/4, 5/5/2012",135,NA,NA,NA,NA,NA,NA,NA,NA
"12","P011","11","Y","WCA3AC",546603.3,2893273,1,"2011","8/5, 8/6, 8/11/2010",225,1,"2016","01/08, 01/11/2016",135,1,"2021, 2022","1/20, 1/21, 11/23/2021",135
"13","P013","13","Y","WCA3AN",553652.16,2879348.07,1,"2011","8/24, 8/27, 9/3/2010",210,NA,NA,NA,NA,NA,NA,NA,NA
"14","P014","14","N","ENP",520452.78,2800699.28,1,"2012","9/9, 9/14, 10/7/2011",147,NA,NA,NA,NA,NA,NA,NA,NA
"15","P015","15","Y","WCA3AC",544263.6,2888174.1,1,"2011","6/17, 6/18, 7/30/2010",240,1,"2016","02/02, 02/03/2016",135,1,"2021, 2022","1/8, 1/11, 11/23, 11/29/2021",134
"16","P016","16","N","ENP",534551.56,2821237.18,2,"2011","12/19/2011, 1/4, 1/6/2012",135,NA,NA,NA,NA,NA,NA,NA,NA
"17","P017","17","Y","WCA1",575467.5,2927079.8,2,"2010","40211",195,2,"2017","11/07, 11/14/2016",120,2,"2022","10/6, 11/30, 12/26/2021",131
"18","P018","18","Y","ENP_W",523582.5,2837739.8,2,"2011","5/18,5/25, 6/5, 6/7/2010",114,2,"2017","42746",42,2,"2022","10/22, 10/27, 12/7/2021",99
"19","P019","19","Y","WCA3AN",532020.9,2901747.8,2,"2011","9/30, 10/8, 10/12/2010",210,2,"2018","07/26, 08/02/2017",88,2,"2022","10/15, 11/24/2021",114
"20","P020","20","Y","WCA3B",541840.2,2858248.3,2,"2011","9/30, 10/3/2011",225,2,"2017","01/20, 01/23/2017",135,2,"2022","9/24, 9/27/2021",135
"21","P021","21","Y","WCA2A",560020.3,2904486.4,2,"2010","40240",186,2,"2018","08/04, 08/07/2017",135,2,"2022","9/17, 9/20/2021",135
"22","P022","22","Y","ENP",510586.7,2822844.4,2,"2012","11/4, 11/9/2011",135,NA,NA,NA,NA,2,"2022","11/1, 11/11, 11/17/2021",135
"23","P023","23","Y","WCA3AC",527209.6,2876687.7,2,"2012","9/23, 9/26, 9/28/2011",237,2,"2017","02/08, 02/10/2017",132,2,"2022","9/1, 9/3/2021",135
"24","P024","24","Y","ENP_N",543033.6,2843539.1,2,"2012","2/28, 3/1, 3/6/2012",132,2,"2017","12/19, 12/29/2016",130,2,"2022","9/8, 9/10/2021, 1/26/2022",133
"25","P025","25","Y","WCA1",556804.01,2940955.57,2,"2010","40212",192,NA,NA,NA,NA,NA,NA,NA,NA
