"","PlotID","PSU_Cycle","SPCODE","Cover"
"1","P00001_1","C1","CLAJAM","80"
"2","P00001_1","C1","CRIAME","5"
"3","P00001_2","C1","CLAJAM","80"
"4","P00001_3","C1","CLAJAM","80"
"5","P00001_3","C1","CRIAME","10"
"6","P00002_1","C1","ELECEL","50"
"7","P00002_1","C1","UTRPUR","10"
"8","P00002_2","C1","ELECEL","50"
"9","P00002_2","C1","PANHEM","1"
"10","P00002_2","C1","SAGLAN","20"
"11","P00002_2","C1","UTRFOL","30"
"12","P00002_2","C1","UTRPUR","80"
"13","P00002_3","C1","ELECEL","60"
"14","P00002_3","C1","SAGLAN","5"
"15","P00002_3","C1","UTRFOL","10"
"16","P00002_3","C1","UTRPUR","70"
"17","P00003_1","C1","ELECEL","50"
"18","P00003_1","C1","PANHEM","1"
"19","P00003_2","C1","ELECEL","30"
"20","P00003_3","C1","ELECEL","30"
"21","P00003_3","C1","PANHEM","1"
"22","P00003_3","C1","SAGLAN","10"
"23","P00004_1","C1","CLAJAM","90"
"24","P00004_1","C1","CRIAME","5"
"25","P00004_2","C1","CLAJAM","90"
"26","P00004_3","C1","CLAJAM","90"
"27","P00005_1","C1","CLAJAM","90"
"28","P00005_1","C1","CRIAME","5"
"29","P00005_2","C1","CLAJAM","90"
"30","P00005_2","C1","CRIAME","20"
"31","P00005_3","C1","BACCAR","5"
"32","P00005_3","C1","CLAJAM","60"
"33","P00005_3","C1","PANHEM","1"
"34","P00006_1","C1","CLAJAM","60"
"35","P00006_1","C1","ELECEL","10"
"36","P00006_2","C1","ELECEL","50"
"37","P00006_2","C1","UTRPUR","10"
"38","P00006_3","C1","CLAJAM","70"
"39","P00007_1","C1","CLAJAM","70"
"40","P00007_1","C1","ELEELO","5"
"41","P00007_1","C1","NYMAQU","1"
"42","P00007_2","C1","ELECEL","40"
"43","P00007_2","C1","ELEELO","30"
"44","P00007_2","C1","PANHEM","1"
"45","P00007_3","C1","CLAJAM","20"
"46","P00007_3","C1","ELECEL","40"
"47","P00008_1","C1","CLAJAM","90"
"48","P00008_1","C1","JUSANG","1"
"49","P00008_2","C1","CLAJAM","80"
"50","P00008_3","C1","CLAJAM","80"
"51","P00008_3","C1","ELECEL","5"
"52","P00008_3","C1","PELVIR","1"
"53","P00008_3","C1","SALCAR","1"
"54","P00008_3","C1","UTRFOL","20"
"55","P00009_1","C1","CLAJAM","80"
"56","P00009_1","C1","ELECEL","5"
"57","P00009_1","C1","UTRFOL","5"
"58","P00009_2","C1","CLAJAM","90"
"59","P00009_2","C1","PELVIR","1"
"60","P00009_3","C1","CLAJAM","70"
"61","P00009_3","C1","ELECEL","10"
"62","P00010_1","C1","ELECEL","70"
"63","P00010_1","C1","UTRPUR","60"
"64","P00010_2","C1","ELECEL","40"
"65","P00010_2","C1","UTRPUR","80"
"66","P00010_3","C1","ELECEL","20"
"67","P00010_3","C1","PANHEM","10"
"68","P00010_3","C1","UTRPUR","70"
"69","P00011_1","C1","CLAJAM","40"
"70","P00011_1","C1","UTRFOL","30"
"71","P00011_2","C1","CLAJAM","20"
"72","P00011_2","C1","ELECEL","40"
"73","P00011_2","C1","UTRFOL","10"
"74","P00011_2","C1","UTRPUR","30"
"75","P00011_3","C1","BACCAR","1"
"76","P00011_3","C1","CLAJAM","30"
"77","P00011_3","C1","ELEELO","10"
"78","P00012_1","C1","ELECEL","20"
"79","P00012_1","C1","ELEELO","10"
"80","P00012_2","C1","CLAJAM","20"
"81","P00012_2","C1","ELECEL","10"
"82","P00012_2","C1","ELEELO","10"
"83","P00012_3","C1","ELECEL","10"
"84","P00012_3","C1","ELEELO","15"
"85","P00012_3","C1","SAGLAN","10"
"86","P00013_1","C1","CLAJAM","100"
"87","P00013_1","C1","CRIAME","20"
"88","P00013_2","C1","CLAJAM","100"
"89","P00013_3","C1","ELECEL","10"
"90","P00013_3","C1","ELEELO","5"
"91","P00013_3","C1","UTRFOL","1"
"92","P00014_1","C1","ELECEL","40"
"93","P00014_1","C1","PASGEM","20"
"94","P00014_2","C1","BACCAR","10"
"95","P00014_2","C1","ELECEL","30"
"96","P00014_2","C1","NYMAQU","5"
"97","P00014_2","C1","UTRPUR","30"
"98","P00014_3","C1","CLAJAM","80"
"99","P00014_3","C1","UTRFOL","20"
"100","P00015_1","C1","CLAJAM","30"
"101","P00015_2","C1","CLAJAM","90"
"102","P00015_3","C1","CLAJAM","40"
"103","P00015_3","C1","ELEELO","5"
"104","P00021_1","C1","CLAJAM","90"
"105","P00021_2","C1","CLAJAM","90"
"106","P00021_3","C1","CLAJAM","50"
"107","P00022_1","C1","CLAJAM","90"
"108","P00022_1","C1","CRIAME","5"
"109","P00022_2","C1","CLAJAM","100"
"110","P00022_3","C1","CLAJAM","80"
"111","P00022_3","C1","CRIAME","20"
"112","P00023_1","C1","ELECEL","10"
"113","P00023_1","C1","UTRFOL","5"
"114","P00023_2","C1","CLAJAM","20"
"115","P00023_2","C1","ELECEL","5"
"116","P00023_2","C1","UTRFOL","5"
"117","P00023_3","C1","CLAJAM","80"
"118","P00023_3","C1","ELECEL","10"
"119","P00024_1","C1","CEPOCC","5"
"120","P00024_1","C1","CLAJAM","60"
"121","P00024_2","C1","AESPRA","5"
"122","P00024_2","C1","ANNGLA","30"
"123","P00024_2","C1","CEPOCC","30"
"124","P00024_2","C1","CLAJAM","70"
"125","P00024_2","C1","IPOSPP","5"
"126","P00024_3","C1","CLAJAM","100"
"127","P00025_1","C1","CLAJAM","50"
"128","P00025_1","C1","CRIAME","1"
"129","P00025_2","C1","BACCAR","1"
"130","P00025_2","C1","CLAJAM","70"
"131","P00025_2","C1","CRIAME","30"
"132","P00025_3","C1","CLAJAM","90"
"133","P00025_3","C1","CRIAME","10"
"134","P00025_3","C1","ELECEL","10"
"135","P00026_1","C1","CLAJAM","70"
"136","P00026_2","C1","CEPOCC","70"
"137","P00026_2","C1","CLAJAM","5"
"138","P00026_2","C1","ELECEL","10"
"139","P00026_3","C1","CLAJAM","80"
"140","P00027_1","C1","ELECEL","10"
"141","P00027_1","C1","ELEELO","20"
"142","P00027_1","C1","SAGLAN","10"
"143","P00027_2","C1","ELECEL","10"
"144","P00027_2","C1","ELEELO","20"
"145","P00027_3","C1","ELECEL","10"
"146","P00027_3","C1","ELEELO","10"
"147","P00027_3","C1","PANHEM","20"
"148","P00027_3","C1","UTRFOL","10"
