"","PlotID_New","ele_sd","ele_range"
"1","P00001_C",6.15182899632295,8.69999999999999
"2","P00001_E",3.53553390593274,5
"3","P00001_N",3.81837661840734,5.39999999999998
"4","P00002_C",3.04055915910215,4.3
"5","P00002_E",1.4142135623731,2
"6","P00002_N",4.94974746830583,7
"7","P00003_C",1.62634559672906,2.3
"8","P00003_E",0.707106781186548,1
"9","P00003_N",3.7476659402887,5.3
"10","P00004_C",5.93969696196698,8.39999999999998
"11","P00004_E",4.24264068711928,6
"12","P00004_N",4.24264068711928,6
"13","P00005_C",4.03050865276331,5.69999999999999
"14","P00005_E",3.53553390593274,5
"15","P00005_N",5.65685424949238,8
"16","P00006_C",0.282842712474623,0.400000000000006
"17","P00006_E",0.494974746830585,0.700000000000003
"18","P00006_N",0.707106781186548,1
"19","P00007_C",3.32340187157678,4.7
"20","P00007_E",3.04055915910215,4.3
"21","P00007_N",4.03050865276332,5.7
"22","P00008_C",3.53553390593273,4.99999999999999
"23","P00008_E",1.20208152801712,1.69999999999999
"24","P00008_N",1.20208152801713,1.7
"25","P00009_C",0.282842712474603,0.399999999999977
"26","P00009_E",3.7476659402887,5.3
"27","P00009_N",1.20208152801712,1.69999999999999
"28","P00010_C",3.32340187157678,4.7
"29","P00010_E",1.90918830920368,2.7
"30","P00010_N",1.20208152801713,1.7
"31","P00011_C",0.707106781186548,1
"32","P00011_E",0.989949493661171,1.40000000000001
"33","P00011_N",5.16187950266179,7.3
"34","P00012_C",1.13137084989847,1.59999999999999
"35","P00012_E",0.494974746830585,0.700000000000003
"36","P00012_N",4.24264068711928,6
"37","P00013_C",5.44472221513641,7.69999999999999
"38","P00013_E",2.3334523779156,3.3
"39","P00013_N",0.494974746830575,0.699999999999989
"40","P00014_C",0,0
"41","P00014_E",0.494974746830575,0.699999999999989
"42","P00014_N",0.282842712474623,0.400000000000006
"43","P00015_C",3.95979797464466,5.59999999999999
"44","P00015_E",2.3334523779156,3.3
"45","P00015_N",2.54558441227157,3.59999999999999
"46","P00021_C",7.77817459305202,11
"47","P00021_E",3.53553390593274,5
"48","P00021_N",3.53553390593274,5
"49","P00022_C",0.282842712474603,0.399999999999977
"50","P00022_E",4.03050865276331,5.69999999999999
"51","P00022_N",3.74766594028871,5.30000000000001
"52","P00023_C",3.53553390593274,5
"53","P00023_E",0,0
"54","P00023_N",6.5760930650349,9.30000000000001
"55","P00024_C",NA,0
"56","P00024_E",NA,0
"57","P00024_N",NA,0
"58","P00025_C",NA,0
"59","P00025_E",NA,0
"60","P00025_N",NA,0
"61","P00026_C",0,0
"62","P00026_E",2.82842712474619,4
"63","P00026_N",2.33345237791562,3.30000000000001
"64","P00027_C",1.90918830920368,2.7
"65","P00027_E",0.707106781186548,1
"66","P00027_N",1.90918830920368,2.7
"67","P00028_C",5.65685424949238,8
"68","P00028_E",3.11126983722079,4.39999999999998
"69","P00028_N",2.61629509039022,3.69999999999999
"70","P00029_C",3.32340187157677,4.69999999999999
"71","P00029_E",0.707106781186548,1
"72","P00029_N",4.45477272147526,6.30000000000001
"73","P00030_C",5.86898628384835,8.30000000000001
"74","P00030_E",0.91923881554252,1.30000000000001
"75","P00030_N",3.74766594028871,5.30000000000001
"76","P00032_C",4.24264068711928,6
"77","P00032_E",2.12132034355964,3
"78","P00032_N",1.4142135623731,2
"79","P00033_C",5.16187950266179,7.3
"80","P00033_E",0.91923881554251,1.3
"81","P00033_N",0.212132034355962,0.299999999999997
"82","P00034_C",0.424264068711935,0.600000000000009
"83","P00034_E",1.4142135623731,2
"84","P00034_N",7.28319984622144,10.3
"85","P00035_C",0.707106781186548,1
"86","P00035_E",4.24264068711928,6
"87","P00035_N",0.212132034355962,0.299999999999997
"88","P00037_C",3.11126983722079,4.39999999999998
"89","P00037_E",3.74766594028871,5.30000000000001
"90","P00037_N",1.4142135623731,2
"91","P00041_C",7.07106781186548,10
"92","P00041_E",2.33345237791562,3.30000000000001
"93","P00041_N",2.82842712474619,4
"94","P00042_C",4.24264068711928,6
"95","P00042_E",1.6970562748477,2.39999999999998
"96","P00042_N",2.82842712474619,4
"97","P00043_C",1.62634559672907,2.30000000000001
"98","P00043_E",8.76812408671317,12.4
"99","P00043_N",4.45477272147526,6.30000000000001
"100","P00044_C",6.5760930650349,9.30000000000001
"101","P00044_E",3.32340187157677,4.69999999999999
"102","P00044_N",5.65685424949238,8
"103","P00045_C",2.61629509039022,3.69999999999999
"104","P00045_E",3.32340187157677,4.69999999999999
"105","P00045_N",2.12132034355964,3
"106","P00046_C",1.62634559672907,2.30000000000001
"107","P00046_E",3.11126983722079,4.39999999999998
"108","P00046_N",2.12132034355964,3
"109","P00047_C",7.990306627408,11.3
"110","P00047_E",4.94974746830583,7
"111","P00047_N",4.03050865276331,5.69999999999999
"112","P00048_C",2.82842712474619,4
"113","P00048_E",5.44472221513641,7.69999999999999
"114","P00048_N",2.33345237791562,3.30000000000001
"115","P00049_C",2.82842712474619,4
"116","P00049_E",10.1116269709676,14.3
"117","P00049_N",6.08111831820433,8.60000000000002
"118","P00050_C",1.62634559672907,2.30000000000001
"119","P00050_E",3.04055915910216,4.30000000000001
"120","P00050_N",2.33345237791562,3.30000000000001
"121","P00066_C",4.73761543394986,6.69999999999999
"122","P00066_E",3.04055915910216,4.30000000000001
"123","P00066_N",3.04055915910216,4.30000000000001
"124","P00067_C",6.8589357775095,9.69999999999999
"125","P00067_E",8.69741340859454,12.3
"126","P00067_N",3.04055915910216,4.30000000000001
"127","P00068_C",1.4142135623731,2
"128","P00068_E",4.24264068711928,6
"129","P00068_N",0.494974746830575,0.699999999999989
"130","P00069_C",2.40416305603425,3.39999999999998
"131","P00069_E",3.74766594028871,5.30000000000001
"132","P00069_N",4.94974746830583,7
"133","P00070_C",5.44472221513641,7.69999999999999
"134","P00070_E",9.19238815542512,13
"135","P00070_N",8.76812408671317,12.4
"136","P00081_C",NA,0
"137","P00081_E",NA,0
"138","P00081_N",NA,0
"139","P00082_C",NA,0
"140","P00082_E",NA,0
"141","P00082_N",NA,0
"142","P00103_C",9.47523086789972,13.4
"143","P00103_E",3.11126983722079,4.39999999999998
"144","P00103_N",4.52548339959389,6.39999999999998
"145","P00104_C",1.6970562748477,2.39999999999998
"146","P00104_E",0.98994949366115,1.39999999999998
"147","P00104_N",5.86898628384835,8.30000000000001
"148","P00105_C",3.74766594028871,5.30000000000001
"149","P00105_E",11.5965512114594,16.4
"150","P00105_N",6.36396103067893,9
"151","P00107_C",NA,-Inf
"152","P00107_E",NA,-Inf
"153","P00107_N",NA,0
"154","P00108_C",6.15182899632295,8.69999999999999
"155","P00108_E",5.44472221513641,7.69999999999999
"156","P00108_N",2.82842712474619,4
"157","P00109_C",5.23259018078044,7.39999999999998
"158","P00109_E",0.98994949366115,1.39999999999998
"159","P00109_N",0.707106781186548,1
"160","P00110_C",2.82842712474619,4
"161","P00110_E",5.1618795026618,7.30000000000001
"162","P00110_N",3.04055915910216,4.30000000000001
"163","P00111_C",3.95979797464468,5.60000000000002
"164","P00111_E",1.90918830920367,2.69999999999999
"165","P00111_N",1.83847763108504,2.60000000000002
"166","P00113_C",2.12132034355964,3
"167","P00113_E",1.4142135623731,2
"168","P00113_N",0.91923881554252,1.30000000000001
"169","P00117_C",3.74766594028871,5.30000000000001
"170","P00117_E",2.12132034355964,3
"171","P00117_N",3.25269119345813,4.60000000000002
"172","P00121_C",3.11126983722079,4.39999999999998
