"","C123Merged_EnvSNO","C123_Plot_SNO","PlotID_New","PSUID","Cycle.x","Cycle_Year"
"1",55,55,"P00024_C","P000","C1","Yr1"
"2",57,57,"P00024_N","P000","C1","Yr1"
"3",58,58,"P00025_C","P000","C1","Yr1"
"4",60,60,"P00025_N","P000","C1","Yr1"
"5",841,935,"P00666_C","P006","C1","Yr1"
"6",843,937,"P00666_N","P006","C1","Yr1"
"7",850,944,"P00669_C","P006","C1","Yr1"
"8",851,945,"P00669_E","P006","C1","Yr1"
"9",852,946,"P00669_N","P006","C1","Yr1"
"10",853,947,"P00670_C","P006","C1","Yr1"
"11",854,948,"P00670_E","P006","C1","Yr1"
"12",855,949,"P00670_N","P006","C1","Yr1"
"13",1737,1840,"P01177_C","P011","C1","Yr1"
"14",1738,1841,"P01177_E","P011","C1","Yr1"
"15",1739,1842,"P01177_N","P011","C1","Yr1"
"16",1740,1843,"P01178_C","P011","C1","Yr1"
"17",1741,1844,"P01178_E","P011","C1","Yr1"
"18",1742,1845,"P01178_N","P011","C1","Yr1"
"19",2157,2260,"P01518_C","P015","C1","Yr1"
"20",2158,2261,"P01518_E","P015","C1","Yr1"
"21",2159,2262,"P01518_N","P015","C1","Yr1"
"22",2166,2269,"P01521_C","P015","C1","Yr1"
"23",2167,2270,"P01521_E","P015","C1","Yr1"
"24",2168,2271,"P01521_N","P015","C1","Yr1"
"25",2169,2272,"P01522_C","P015","C1","Yr1"
"26",2170,2273,"P01522_E","P015","C1","Yr1"
"27",2171,2274,"P01522_N","P015","C1","Yr1"
"28",2175,2278,"P01524_C","P015","C1","Yr1"
"29",2176,2279,"P01524_E","P015","C1","Yr1"
"30",2177,2280,"P01524_N","P015","C1","Yr1"
"31",2226,2329,"P01541_C","P015","C1","Yr1"
"32",2227,2330,"P01541_E","P015","C1","Yr1"
"33",2228,2331,"P01541_N","P015","C1","Yr1"
"34",2229,2332,"P01542_C","P015","C1","Yr1"
"35",2230,2333,"P01542_E","P015","C1","Yr1"
"36",2231,2334,"P01542_N","P015","C1","Yr1"
"37",2232,2335,"P01543_C","P015","C1","Yr1"
"38",2233,2336,"P01543_E","P015","C1","Yr1"
"39",2234,2337,"P01543_N","P015","C1","Yr1"
"40",2235,2338,"P01544_C","P015","C1","Yr1"
"41",2236,2339,"P01544_E","P015","C1","Yr1"
"42",2237,2340,"P01544_N","P015","C1","Yr1"
"43",2238,2341,"P01545_C","P015","C1","Yr1"
"44",2239,2342,"P01545_E","P015","C1","Yr1"
"45",2240,2343,"P01545_N","P015","C1","Yr1"
"46",2301,2404,"P01566_C","P015","C1","Yr1"
"47",2303,2406,"P01566_N","P015","C1","Yr1"
"48",2310,2413,"P01569_C","P015","C1","Yr1"
"49",2311,2414,"P01569_E","P015","C1","Yr1"
"50",2312,2415,"P01569_N","P015","C1","Yr1"
"51",2313,2416,"P01570_C","P015","C1","Yr1"
"52",2314,2417,"P01570_E","P015","C1","Yr1"
"53",2315,2418,"P01570_N","P015","C1","Yr1"
"54",2631,2734,"P01761_C","P017","C1","Yr2"
"55",2633,2736,"P01761_N","P017","C1","Yr2"
"56",2639,2742,"P01763_N","P017","C1","Yr2"
"57",2643,2746,"P01765_C","P017","C1","Yr2"
"58",2645,2748,"P01765_N","P017","C1","Yr2"
"59",2799,2923,"P01909_C","P019","C1","Yr2"
"60",2800,2924,"P01909_E","P019","C1","Yr2"
"61",2801,2925,"P01909_N","P019","C1","Yr2"
"62",2802,2926,"P01910_C","P019","C1","Yr2"
"63",2803,2927,"P01910_E","P019","C1","Yr2"
"64",2804,2928,"P01910_N","P019","C1","Yr2"
"65",2895,3019,"P01946_C","P019","C1","Yr2"
"66",2897,3021,"P01946_N","P019","C1","Yr2"
"67",2898,3022,"P01947_C","P019","C1","Yr2"
"68",2899,3023,"P01947_E","P019","C1","Yr2"
"69",2900,3024,"P01947_N","P019","C1","Yr2"
"70",2904,3028,"P01949_C","P019","C1","Yr2"
"71",2905,3029,"P01949_E","P019","C1","Yr2"
"72",2906,3030,"P01949_N","P019","C1","Yr2"
"73",2907,3031,"P01950_C","P019","C1","Yr2"
"74",2908,3032,"P01950_E","P019","C1","Yr2"
"75",2909,3033,"P01950_N","P019","C1","Yr2"
"76",2925,3049,"P01956_C","P019","C1","Yr2"
"77",2926,3050,"P01956_E","P019","C1","Yr2"
"78",2927,3051,"P01956_N","P019","C1","Yr2"
"79",2949,3073,"P01964_C","P019","C1","Yr2"
"80",2950,3074,"P01964_E","P019","C1","Yr2"
"81",2951,3075,"P01964_N","P019","C1","Yr2"
"82",2952,3076,"P01965_C","P019","C1","Yr2"
"83",2953,3077,"P01965_E","P019","C1","Yr2"
"84",2954,3078,"P01965_N","P019","C1","Yr2"
"85",2958,3082,"P01967_C","P019","C1","Yr2"
"86",2959,3083,"P01967_E","P019","C1","Yr2"
"87",2960,3084,"P01967_N","P019","C1","Yr2"
"88",2961,3085,"P01968_C","P019","C1","Yr2"
"89",2962,3086,"P01968_E","P019","C1","Yr2"
"90",2963,3087,"P01968_N","P019","C1","Yr2"
"91",3012,3136,"P02005_C","P020","C1","Yr2"
"92",3013,3137,"P02005_E","P020","C1","Yr2"
"93",3014,3138,"P02005_N","P020","C1","Yr2"
"94",3049,3173,"P02017_E","P020","C1","Yr2"
"95",3501,3625,"P02246_C","P022","C1","Yr2"
"96",3502,3626,"P02246_E","P022","C1","Yr2"
"97",3503,3627,"P02246_N","P022","C1","Yr2"
"98",3504,3628,"P02247_C","P022","C1","Yr2"
"99",3505,3629,"P02247_E","P022","C1","Yr2"
"100",3506,3630,"P02247_N","P022","C1","Yr2"
"101",3510,3634,"P02249_C","P022","C1","Yr2"
"102",3511,3635,"P02249_E","P022","C1","Yr2"
"103",3512,3636,"P02249_N","P022","C1","Yr2"
"104",3513,3637,"P02250_C","P022","C1","Yr2"
"105",3514,3638,"P02250_E","P022","C1","Yr2"
"106",3515,3639,"P02250_N","P022","C1","Yr2"
"107",3555,3691,"P02305_C","P023","C1","Yr2"
"108",3556,3692,"P02305_E","P023","C1","Yr2"
"109",3557,3693,"P02305_N","P023","C1","Yr2"
"110",3615,3751,"P02325_C","P023","C1","Yr2"
"111",3616,3752,"P02325_E","P023","C1","Yr2"
"112",3617,3753,"P02325_N","P023","C1","Yr2"
"113",4122,4261,"P02606_C","P026","C1","Yr2"
"114",4123,4262,"P02606_E","P026","C1","Yr2"
"115",4124,4263,"P02606_N","P026","C1","Yr2"
"116",4128,4267,"P02608_C","P026","C1","Yr2"
"117",4129,4268,"P02608_E","P026","C1","Yr2"
"118",4130,4269,"P02608_N","P026","C1","Yr2"
"119",4134,4273,"P02610_C","P026","C1","Yr2"
"120",4135,4274,"P02610_E","P026","C1","Yr2"
"121",4136,4275,"P02610_N","P026","C1","Yr2"
"122",4155,4294,"P02617_C","P026","C1","Yr2"
"123",4156,4295,"P02617_E","P026","C1","Yr2"
"124",4157,4296,"P02617_N","P026","C1","Yr2"
"125",4167,4306,"P02621_C","P026","C1","Yr2"
"126",4168,4307,"P02621_E","P026","C1","Yr2"
"127",4169,4308,"P02621_N","P026","C1","Yr2"
"128",4170,4309,"P02622_C","P026","C1","Yr2"
"129",4171,4310,"P02622_E","P026","C1","Yr2"
"130",4172,4311,"P02622_N","P026","C1","Yr2"
"131",4173,4312,"P02623_C","P026","C1","Yr2"
"132",4174,4313,"P02623_E","P026","C1","Yr2"
"133",4175,4314,"P02623_N","P026","C1","Yr2"
"134",4176,4315,"P02624_C","P026","C1","Yr2"
"135",4177,4316,"P02624_E","P026","C1","Yr2"
"136",4178,4317,"P02624_N","P026","C1","Yr2"
"137",4179,4318,"P02625_C","P026","C1","Yr2"
"138",4180,4319,"P02625_E","P026","C1","Yr2"
"139",4181,4320,"P02625_N","P026","C1","Yr2"
"140",4227,4366,"P02641_C","P026","C1","Yr2"
"141",4228,4367,"P02641_E","P026","C1","Yr2"
"142",4229,4368,"P02641_N","P026","C1","Yr2"
"143",4230,4369,"P02642_C","P026","C1","Yr2"
"144",4231,4370,"P02642_E","P026","C1","Yr2"
"145",4232,4371,"P02642_N","P026","C1","Yr2"
"146",4233,4372,"P02643_C","P026","C1","Yr2"
"147",4234,4373,"P02643_E","P026","C1","Yr2"
"148",4235,4374,"P02643_N","P026","C1","Yr2"
"149",4236,4375,"P02644_C","P026","C1","Yr2"
"150",4237,4376,"P02644_E","P026","C1","Yr2"
"151",4238,4377,"P02644_N","P026","C1","Yr2"
"152",4239,4378,"P02645_C","P026","C1","Yr2"
"153",4240,4379,"P02645_E","P026","C1","Yr2"
"154",4241,4380,"P02645_N","P026","C1","Yr2"
"155",4287,4426,"P02661_C","P026","C1","Yr2"
"156",4288,4427,"P02661_E","P026","C1","Yr2"
"157",4289,4428,"P02661_N","P026","C1","Yr2"
"158",4290,4429,"P02662_C","P026","C1","Yr2"
"159",4291,4430,"P02662_E","P026","C1","Yr2"
"160",4292,4431,"P02662_N","P026","C1","Yr2"
"161",4293,4432,"P02663_C","P026","C1","Yr2"
