"","PlotID_New","East_mm","East_sd","North_mm","North_sd"
"1","P00001_C",531070,0,2841021.1,0
"2","P00001_E",531079.5,0,2841017.9,0
"3","P00001_N",531074.9,0,2841035.3,0
"4","P00002_C",531156.533333333,0.923760430689959,2841084.7,2.77128129200266
"5","P00002_E",531174,0,2841077,0
"6","P00002_N",531157.066666667,0.923760430689959,2841086.3,2.77128129200266
"7","P00003_C",531144,0,2840874.1,0
"8","P00003_E",531150.6,0,2840871.9,0
"9","P00003_N",531145.6,0,2840878.9,0
"10","P00004_C",531040,0,2841163.1,0
"11","P00004_E",531057.2,9.52627944162882,2841163.9,14.8956369452537
"12","P00004_N",531051.7,9.52627944162882,2841172.5,14.8956369452537
"13","P00005_C",531064,0,2841001.1,0
"14","P00005_E",531076.3,0,2840996.9,0
"15","P00005_N",531070.2,0,2841019.1,0
"16","P00006_C",531328,0,2841056.2,0
"17","P00006_E",531350.7,0,2841048.3,0
"18","P00006_N",531334.8,0,2841076,0
"19","P00007_C",531429,0,2841151.2,0
"20","P00007_E",531439.4,0,2841147.6,0
"21","P00007_N",531430.3,0,2841154.9,0
"22","P00008_C",531424,0,2840984.2,0
"23","P00008_E",531427.8,0,2840982.8,0
"24","P00008_N",531430.2,0,2841002.1,0
"25","P00009_C",531358,0,2841220.2,0
"26","P00009_E",531390.1,0,2841209.1,0
"27","P00009_N",531361.9,0,2841231.5,0
"28","P00010_C",531241,0,2841050.2,0
"29","P00010_E",531246.7,0,2841048.2,0
"30","P00010_N",531244.3,0,2841059.6,0
"31","P00011_C",531922,0,2840695.2,0
"32","P00011_E",531943.7,0,2840687.7,0
"33","P00011_N",531923.6,0,2840699.9,0
"34","P00012_C",531958,0,2840686.2,0
"35","P00012_E",531987.3,0,2840676.1,0
"36","P00012_N",531965.5,0,2840707.9,0
"37","P00013_C",531990,0,2840591.2,0
"38","P00013_E",532008,0,2840585,0
"39","P00013_N",532000.1,0,2840620.5,0
"40","P00014_C",531909,0,2840845.2,0
"41","P00014_E",531935.5,0,2840836,0
"42","P00014_N",531912.9,0,2840856.5,0
"43","P00015_C",531794,0,2840631.2,0
"44","P00015_E",531813.9,0,2840624.3,0
"45","P00015_N",531804.1,0,2840660.5,0
"46","P00021_C",531247,0,2842434.2,0
"47","P00021_E",531277.3,0,2842423.7,0
"48","P00021_N",531248.6,0,2842438.9,0
"49","P00022_C",531263,0,2842444.2,0
"50","P00022_E",531280,0,2842438.3,0
"51","P00022_N",531273.7,0,2842475.4,0
"52","P00023_C",531282,0,2842266.2,0
"53","P00023_E",531290.5,0,2842263.2,0
"54","P00023_N",531292.7,0,2842297.4,0
"55","P00024_C",531208,0,2842536.2,0
"56","P00024_E",531235.4,0,2842526.7,0
"57","P00024_N",531218.4,0,2842566.4,0
"58","P00025_C",531183,0,2842447.1,0
"59","P00025_E",531192.5,0,2842443.9,0
"60","P00025_N",531186.9,0,2842458.5,0
"61","P00026_C",531899,0,2842518.2,0
"62","P00026_E",531918.9,0,2842511.3,0
"63","P00026_N",531909.7,0,2842549.4,0
"64","P00027_C",532014,0,2842603.2,0
"65","P00027_E",532025.3,0,2842599.2,0
"66","P00027_N",532024.7,0,2842634.4,0
"67","P00028_C",531931,0,2842499.2,0
"68","P00028_E",531950.9,0,2842492.3,0
"69","P00028_N",531938.5,0,2842520.9,0
"70","P00029_C",531899,0,2842647.2,0
"71","P00029_E",531914.1,0,2842641.9,0
"72","P00029_N",531908.1,0,2842673.6,0
"73","P00030_C",531862,0,2842515.2,0
"74","P00030_E",531882.8,0,2842508,0
"75","P00030_N",531864,0,2842520.8,0
"76","P00032_C",532023,0,2842087.2,0
"77","P00032_E",532026.8,0,2842085.8,0
"78","P00032_N",532031.5,0,2842111.7,0
"79","P00033_C",532522,0,2841954.2,0
"80","P00033_E",532546.6,0,2841945.7,0
"81","P00033_N",532529.8,0,2841976.8,0
"82","P00034_C",532493,0,2842274.2,0
"83","P00034_E",532525.1,0,2842263.1,0
"84","P00034_N",532498.5,0,2842290.2,0
"85","P00035_C",532421,0,2842079.2,0
"86","P00035_E",532432.3,0,2842075.2,0
"87","P00035_N",532431.7,0,2842110.4,0
"88","P00037_C",532516,0,2842092.2,0
"89","P00037_E",532525.5,0,2842088.9,0
"90","P00037_N",532527.1,0,2842124.3,0
"91","P00041_C",531882,0,2843834.2,0
"92","P00041_E",531912.3,0,2843823.7,0
"93","P00041_N",531884.6,0,2843841.7,0
"94","P00042_C",531896,0,2843853.2,0
"95","P00042_E",531925.3,0,2843843.1,0
"96","P00042_N",531899.9,0,2843864.5,0
"97","P00043_C",531854,0,2843731.2,0
"98","P00043_E",531870.1,0,2843725.6,0
"99","P00043_N",531857.6,0,2843741.6,0
"100","P00044_C",531826,0,2843945.2,0
"101","P00044_E",531829.8,0,2843943.8,0
"102","P00044_N",531836.1,0,2843974.5,0
"103","P00045_C",531730,0,2843723.2,0
"104","P00045_E",531752.7,0,2843715.3,0
"105","P00045_N",531736.5,0,2843742.1,0
"106","P00046_C",532280,0,2843967.2,0
"107","P00046_E",532311.2,0,2843956.4,0
"108","P00046_N",532282.9,0,2843975.7,0
"109","P00047_C",532411,0,2844001.2,0
"110","P00047_E",532440.3,0,2843991.1,0
"111","P00047_N",532422.4,0,2844034.2,0
"112","P00048_C",532285,0,2843885.2,0
"113","P00048_E",532295.4,0,2843881.6,0
"114","P00048_N",532289.9,0,2843899.3,0
"115","P00049_C",532263,0,2844061.2,0
"116","P00049_E",532276.2,0,2844056.6,0
"117","P00049_N",532264,0,2844064,0
"118","P00050_C",532229,0,2843903.2,0
"119","P00050_E",532253.6,0,2843894.7,0
"120","P00050_N",532234.5,0,2843919.2,0
"121","P00066_C",532366,0,2844188.2,0
"122","P00066_E",532368.8,0,2844187.2,0
"123","P00066_N",532369.6,0,2844198.6,0
"124","P00067_C",532376,0,2844201.2,0
"125","P00067_E",532406.3,0,2844190.7,0
"126","P00067_N",532379.6,0,2844211.6,0
"127","P00068_C",532342,0,2844093.2,0
"128","P00068_E",532370.4,0,2844083.4,0
"129","P00068_N",532343.6,0,2844097.9,0
"130","P00069_C",532368,0,2844339.2,0
"131","P00069_E",532396.4,0,2844329.4,0
"132","P00069_N",532376.8,0,2844364.7,0
"133","P00070_C",532288,0,2844157.2,0
"134","P00070_E",532305,0,2844151.3,0
"135","P00070_N",532293.2,0,2844172.3,0
"136","P00081_C",531717,NA,2843049,NA
"137","P00081_E",531727,NA,2843045,NA
"138","P00081_N",531722,NA,2843062,NA
"139","P00082_C",531700,NA,2842831,NA
"140","P00082_E",531727,NA,2842821,NA
"141","P00082_N",531702,NA,2842838,NA
"142","P00101_C",566611.2,NA,2940954.8,NA
"143","P00101_E",566615,NA,2940956.1,NA
"144","P00102_C",566470.5,NA,2941000.6,NA
"145","P00102_E",566480,NA,2941003.9,NA
"146","P00103_C",566582.933333333,0.0577350269055201,2941025.73333333,0.23094010762208
"147","P00103_E",566594.2,0.173205080783773,2941029.33333333,0.288675134594813
"148","P00103_N",566573.9,0.141421356204382,2941050,0
"149","P00104_C",566666.666666667,0.288675134594813,2941037.06666667,0.0577350269727325
"150","P00104_E",566676.933333333,0.0577350269055201,2941040.73333333,0.23094010762208
"151","P00104_N",566658.05,0.0707106781021911,2941059.2,0.282842712408765
"152","P00105_C",566702,0,2940915.26666667,0.23094010762208
"153","P00105_E",566710.666666667,0.288675134594813,2940918.2,0.173205080649348
"154","P00105_N",566690.9,0.141421356204382,2940945.1,0.141421356369018
"155","P00106_C",566678.9,NA,2940964,NA
"156","P00106_E",566688.3,NA,2940967.3,NA
"157","P00107_C",566640.7,0,2940826.43333333,0.0577350269727325
"158","P00107_E",566645.7,0.173205080783773,2940830.7,2.25166604978577
"159","P00107_N",566631.75,0.353553390593274,2940851,0
"160","P00108_C",566555.066666667,0.0577350269055201,2940822.8,0.173205080649348
"161","P00108_E",566563.733333333,0.230940107689293,2940825.73333333,0.23094010762208
"162","P00108_N",566546,0,2940846.95,0.0707106781845092
"163","P00109_C",566624.066666667,0.0577350269055201,2940969.2,0.173205080649348
"164","P00109_E",566630.8,0.173205080783773,2940971.73333333,0.23094010762208
"165","P00109_N",566616.75,0.353553390593274,2940989.15,0.212132034224255
"166","P00110_C",566667.2,0.173205080783773,2940886.26666667,0.23094010762208
"167","P00110_E",566675.866666667,0.11547005381104,2940889.26666667,0.23094010762208
"168","P00110_N",566664.1,0.141421356204382,2940894.9,0.141421356369018
"169","P00111_C",567154.133333333,0.11547005381104,2941468.2,0.173205080649348
