"","C123Merged_EnvSNO","C123_Plot_SNO","PlotID_New","PSUID","Cycle.x","Cycle_Year"
"1",55,55,"P00024_C","P000","C1","Yr1"
"2",57,57,"P00024_N","P000","C1","Yr1"
"3",58,58,"P00025_C","P000","C1","Yr1"
"4",60,60,"P00025_N","P000","C1","Yr1"
"5",841,935,"P00666_C","P006","C1","Yr1"
"6",843,937,"P00666_N","P006","C1","Yr1"
"7",850,944,"P00669_C","P006","C1","Yr1"
"8",851,945,"P00669_E","P006","C1","Yr1"
"9",852,946,"P00669_N","P006","C1","Yr1"
"10",853,947,"P00670_C","P006","C1","Yr1"
"11",854,948,"P00670_E","P006","C1","Yr1"
"12",855,949,"P00670_N","P006","C1","Yr1"
"13",1737,1840,"P01177_C","P011","C1","Yr1"
"14",1738,1841,"P01177_E","P011","C1","Yr1"
"15",1739,1842,"P01177_N","P011","C1","Yr1"
"16",1740,1843,"P01178_C","P011","C1","Yr1"
"17",1741,1844,"P01178_E","P011","C1","Yr1"
"18",1742,1845,"P01178_N","P011","C1","Yr1"
"19",1749,1852,"P01301_C","P013","C1","Yr1"
"20",1750,1853,"P01301_E","P013","C1","Yr1"
"21",1751,1854,"P01301_N","P013","C1","Yr1"
"22",1752,1855,"P01302_C","P013","C1","Yr1"
"23",1753,1856,"P01302_E","P013","C1","Yr1"
"24",1754,1857,"P01302_N","P013","C1","Yr1"
"25",1755,1858,"P01303_C","P013","C1","Yr1"
"26",1756,1859,"P01303_E","P013","C1","Yr1"
"27",1757,1860,"P01303_N","P013","C1","Yr1"
"28",1758,1861,"P01304_C","P013","C1","Yr1"
"29",1759,1862,"P01304_E","P013","C1","Yr1"
"30",1760,1863,"P01304_N","P013","C1","Yr1"
"31",1797,1900,"P01317_C","P013","C1","Yr1"
"32",1798,1901,"P01317_E","P013","C1","Yr1"
"33",1799,1902,"P01317_N","P013","C1","Yr1"
"34",1800,1903,"P01318_C","P013","C1","Yr1"
"35",1801,1904,"P01318_E","P013","C1","Yr1"
"36",1802,1905,"P01318_N","P013","C1","Yr1"
"37",1809,1912,"P01321_C","P013","C1","Yr1"
"38",1810,1913,"P01321_E","P013","C1","Yr1"
"39",1811,1914,"P01321_N","P013","C1","Yr1"
"40",1818,1921,"P01324_C","P013","C1","Yr1"
"41",1819,1922,"P01324_E","P013","C1","Yr1"
"42",1820,1923,"P01324_N","P013","C1","Yr1"
"43",1821,1924,"P01325_C","P013","C1","Yr1"
"44",1822,1925,"P01325_E","P013","C1","Yr1"
"45",1823,1926,"P01325_N","P013","C1","Yr1"
"46",1833,1936,"P01329_C","P013","C1","Yr1"
"47",1834,1937,"P01329_E","P013","C1","Yr1"
"48",1835,1938,"P01329_N","P013","C1","Yr1"
"49",1836,1939,"P01330_C","P013","C1","Yr1"
"50",1837,1940,"P01330_E","P013","C1","Yr1"
"51",1838,1941,"P01330_N","P013","C1","Yr1"
"52",1869,1972,"P01341_C","P013","C1","Yr1"
"53",1870,1973,"P01341_E","P013","C1","Yr1"
"54",1871,1974,"P01341_N","P013","C1","Yr1"
"55",1875,1978,"P01343_C","P013","C1","Yr1"
"56",1876,1979,"P01343_E","P013","C1","Yr1"
"57",1877,1980,"P01343_N","P013","C1","Yr1"
"58",1881,1984,"P01345_C","P013","C1","Yr1"
"59",1882,1985,"P01345_E","P013","C1","Yr1"
"60",1883,1986,"P01345_N","P013","C1","Yr1"
"61",1896,1999,"P01350_C","P013","C1","Yr1"
"62",1897,2000,"P01350_E","P013","C1","Yr1"
"63",1898,2001,"P01350_N","P013","C1","Yr1"
"64",1941,2044,"P01375_C","P013","C1","Yr1"
"65",1943,2046,"P01375_N","P013","C1","Yr1"
"66",2004,2107,"P01441_C","P014","C1","Yr1"
"67",2005,2108,"P01441_E","P014","C1","Yr1"
"68",2006,2109,"P01441_N","P014","C1","Yr1"
"69",2007,2110,"P01442_C","P014","C1","Yr1"
"70",2008,2111,"P01442_E","P014","C1","Yr1"
"71",2009,2112,"P01442_N","P014","C1","Yr1"
"72",2010,2113,"P01443_C","P014","C1","Yr1"
"73",2011,2114,"P01443_E","P014","C1","Yr1"
"74",2012,2115,"P01443_N","P014","C1","Yr1"
"75",2013,2116,"P01444_C","P014","C1","Yr1"
"76",2014,2117,"P01444_E","P014","C1","Yr1"
"77",2015,2118,"P01444_N","P014","C1","Yr1"
"78",2016,2119,"P01445_C","P014","C1","Yr1"
"79",2017,2120,"P01445_E","P014","C1","Yr1"
"80",2018,2121,"P01445_N","P014","C1","Yr1"
"81",2019,2122,"P01446_C","P014","C1","Yr1"
"82",2020,2123,"P01446_E","P014","C1","Yr1"
"83",2021,2124,"P01446_N","P014","C1","Yr1"
"84",2028,2131,"P01449_C","P014","C1","Yr1"
"85",2029,2132,"P01449_E","P014","C1","Yr1"
"86",2030,2133,"P01449_N","P014","C1","Yr1"
"87",2031,2134,"P01450_C","P014","C1","Yr1"
"88",2032,2135,"P01450_E","P014","C1","Yr1"
"89",2033,2136,"P01450_N","P014","C1","Yr1"
"90",2064,2167,"P01461_C","P014","C1","Yr1"
"91",2065,2168,"P01461_E","P014","C1","Yr1"
"92",2066,2169,"P01461_N","P014","C1","Yr1"
"93",2067,2170,"P01462_C","P014","C1","Yr1"
"94",2068,2171,"P01462_E","P014","C1","Yr1"
"95",2069,2172,"P01462_N","P014","C1","Yr1"
"96",2070,2173,"P01463_C","P014","C1","Yr1"
"97",2071,2174,"P01463_E","P014","C1","Yr1"
"98",2072,2175,"P01463_N","P014","C1","Yr1"
"99",2073,2176,"P01464_C","P014","C1","Yr1"
"100",2074,2177,"P01464_E","P014","C1","Yr1"
"101",2075,2178,"P01464_N","P014","C1","Yr1"
"102",2076,2179,"P01465_C","P014","C1","Yr1"
"103",2077,2180,"P01465_E","P014","C1","Yr1"
"104",2078,2181,"P01465_N","P014","C1","Yr1"
"105",2079,2182,"P01466_C","P014","C1","Yr1"
"106",2080,2183,"P01466_E","P014","C1","Yr1"
"107",2081,2184,"P01466_N","P014","C1","Yr1"
"108",2082,2185,"P01467_C","P014","C1","Yr1"
"109",2083,2186,"P01467_E","P014","C1","Yr1"
"110",2084,2187,"P01467_N","P014","C1","Yr1"
"111",2085,2188,"P01468_C","P014","C1","Yr1"
"112",2086,2189,"P01468_E","P014","C1","Yr1"
"113",2087,2190,"P01468_N","P014","C1","Yr1"
"114",2088,2191,"P01469_C","P014","C1","Yr1"
"115",2089,2192,"P01469_E","P014","C1","Yr1"
"116",2090,2193,"P01469_N","P014","C1","Yr1"
"117",2091,2194,"P01470_C","P014","C1","Yr1"
"118",2092,2195,"P01470_E","P014","C1","Yr1"
"119",2093,2196,"P01470_N","P014","C1","Yr1"
"120",2094,2197,"P01471_C","P014","C1","Yr1"
"121",2095,2198,"P01471_E","P014","C1","Yr1"
"122",2096,2199,"P01471_N","P014","C1","Yr1"
"123",2097,2200,"P01472_C","P014","C1","Yr1"
"124",2098,2201,"P01472_E","P014","C1","Yr1"
"125",2099,2202,"P01472_N","P014","C1","Yr1"
"126",2100,2203,"P01473_C","P014","C1","Yr1"
"127",2101,2204,"P01473_E","P014","C1","Yr1"
"128",2102,2205,"P01473_N","P014","C1","Yr1"
"129",2103,2206,"P01475_C","P014","C1","Yr1"
"130",2104,2207,"P01475_E","P014","C1","Yr1"
"131",2105,2208,"P01475_N","P014","C1","Yr1"
"132",2157,2260,"P01518_C","P015","C1","Yr1"
"133",2158,2261,"P01518_E","P015","C1","Yr1"
"134",2159,2262,"P01518_N","P015","C1","Yr1"
"135",2166,2269,"P01521_C","P015","C1","Yr1"
"136",2167,2270,"P01521_E","P015","C1","Yr1"
"137",2168,2271,"P01521_N","P015","C1","Yr1"
"138",2169,2272,"P01522_C","P015","C1","Yr1"
"139",2170,2273,"P01522_E","P015","C1","Yr1"
"140",2171,2274,"P01522_N","P015","C1","Yr1"
"141",2175,2278,"P01524_C","P015","C1","Yr1"
"142",2176,2279,"P01524_E","P015","C1","Yr1"
"143",2177,2280,"P01524_N","P015","C1","Yr1"
"144",2226,2329,"P01541_C","P015","C1","Yr1"
"145",2227,2330,"P01541_E","P015","C1","Yr1"
"146",2228,2331,"P01541_N","P015","C1","Yr1"
"147",2229,2332,"P01542_C","P015","C1","Yr1"
"148",2230,2333,"P01542_E","P015","C1","Yr1"
"149",2231,2334,"P01542_N","P015","C1","Yr1"
"150",2232,2335,"P01543_C","P015","C1","Yr1"
"151",2233,2336,"P01543_E","P015","C1","Yr1"
"152",2234,2337,"P01543_N","P015","C1","Yr1"
"153",2235,2338,"P01544_C","P015","C1","Yr1"
"154",2236,2339,"P01544_E","P015","C1","Yr1"
"155",2237,2340,"P01544_N","P015","C1","Yr1"
"156",2238,2341,"P01545_C","P015","C1","Yr1"
"157",2239,2342,"P01545_E","P015","C1","Yr1"
"158",2240,2343,"P01545_N","P015","C1","Yr1"
"159",2301,2404,"P01566_C","P015","C1","Yr1"
"160",2303,2406,"P01566_N","P015","C1","Yr1"
"161",2310,2413,"P01569_C","P015","C1","Yr1"
