"","PSU_ID","point_count"
"1","P000",397
"2","P001",406
"3","P002",426
"4","P003",242
"5","P004",477
"6","P006",380
"7","P007",444
"8","P009",440
"9","P011",483
"10","P015",455
"11","P017",452
"12","P018",303
"13","P019",416
"14","P020",490
"15","P021",456
"16","P022",258
"17","P023",501
"18","P024",399
"19","P026",414
"20","P028",490
"21","P030",423
"22","P031",479
"23","P032",412
"24","P034",423
"25","P035",195
"26","P036",414
"27","P037",357
"28","P039",414
"29","P043",408
"30","P044",398
"31","P045",378
"32","P047",378
"33","P050",405
"34","P051",405
"35","P052",369
"36","P053",393
"37","P054",357
"38","P055",399
"39","P056",405
"40","P058",369
"41","P059",270
"42","P061",393
"43","P062",405
"44","P063",405
"45","P065",379
"46","P066",399
"47","P067",399
"48","P068",408
"49","P069",378
"50","P071",381
"51","P073",405
"52","P079",387
"53","P108",473
"54","P220",387
"55",NA,386
