C123Merged_EnvSNO,C123_Plot_SNO,PlotID_New,PSUID,PSU,Cluster,Plot_Pt,Cycle_PlotSNO,Cycle,Cycle_Year,X_NAD83,Y_NAD83,SampDate,Class,Soil_Dep_cm,WD_1_cm,WD_2_cm,WD_3_cm,WD_mean_cm,EDEN_WSE,EDEN_based_elev_cm,CLAJAM_ht_cm,PlotSamp_YN
1,1,P00001_C,P000,0,1,C,1,C1,Yr1,531070,2841021.1,3/20/2012,Ridge,,5,,,5,150,145,200,
2,2,P00001_E,P000,0,1,E,2,C1,Yr1,531079.5,2841017.9,3/20/2012,Ridge,,7,,,7,150,143,200,
3,3,P00001_N,P000,0,1,N,3,C1,Yr1,531074.9,2841035.3,3/20/2012,Ridge,,9,,,9,150,141,200,
4,4,P00002_C,P000,0,2,C,4,C1,Yr1,531156,2841083.1,3/20/2012,Slough/Wet Prairie,,17,,,17,150,133,0,
5,5,P00002_E,P000,0,2,E,5,C1,Yr1,531174,2841077,3/20/2012,Slough/Wet Prairie,,25,,,25,150,125,0,
6,6,P00002_N,P000,0,2,N,6,C1,Yr1,531157.6,2841087.9,3/20/2012,Slough/Wet Prairie,,21,,,21,150,129,0,
7,7,P00003_C,P000,0,3,C,7,C1,Yr1,531144,2840874.1,3/20/2012,Wet Prairie,,15,,,15,150,135,0,
8,8,P00003_E,P000,0,3,E,8,C1,Yr1,531150.6,2840871.9,3/20/2012,Wet Prairie,,18,,,18,150,132,0,
9,9,P00003_N,P000,0,3,N,9,C1,Yr1,531145.6,2840878.9,3/20/2012,Wet Prairie,,13,,,13,150,137,0,
10,10,P00004_C,P000,0,4,C,10,C1,Yr1,531040,2841163.1,3/20/2012,Ridge,,8,,,8,150,142,200,
11,11,P00004_E,P000,0,4,E,11,C1,Yr1,531062.7,2841155.3,3/20/2012,Ridge,,5,,,5,150,145,200,
12,12,P00004_N,P000,0,4,N,12,C1,Yr1,531046.2,2841181.1,3/20/2012,Ridge,,6,,,6,150,144,200,
13,13,P00005_C,P000,0,5,C,13,C1,Yr1,531064,2841001.1,3/20/2012,Ridge,,6,,,6,150,144,200,
14,14,P00005_E,P000,0,5,E,14,C1,Yr1,531076.3,2840996.9,3/20/2012,Ridge,,3,,,3,150,147,200,
15,15,P00005_N,P000,0,5,N,15,C1,Yr1,531070.2,2841019.1,3/20/2012,Ridge,,6,,,6,150,144,200,
16,16,P00006_C,P000,0,6,C,16,C1,Yr1,531328,2841056.2,3/20/2012,Ridge/Wet Prairie,,20,,,20,150,130,200,
17,17,P00006_E,P000,0,6,E,17,C1,Yr1,531350.7,2841048.3,3/20/2012,Wet Prairie,,14,,,14,150,136,200,
18,18,P00006_N,P000,0,6,N,18,C1,Yr1,531334.8,2841076,3/20/2012,Ridge,,22,,,22,150,128,0,
19,19,P00007_C,P000,0,7,C,19,C1,Yr1,531429,2841151.2,3/20/2012,Ridge,,22,,,22,150,128,200,
20,20,P00007_E,P000,0,7,E,20,C1,Yr1,531439.4,2841147.6,3/20/2012,Wet Prairie,,14,,,14,150,136,200,
21,21,P00007_N,P000,0,7,N,21,C1,Yr1,531430.3,2841154.9,3/20/2012,Wet Prairie,,16,,,16,150,134,0,
22,22,P00008_C,P000,0,8,C,22,C1,Yr1,531424,2840984.2,3/20/2012,Ridge,,14,,,14,150,136,200,
23,23,P00008_E,P000,0,8,E,23,C1,Yr1,531427.8,2840982.8,3/20/2012,Ridge,,5,,,5,150,145,200,
24,24,P00008_N,P000,0,8,N,24,C1,Yr1,531430.2,2841002.1,3/20/2012,Ridge,,12,,,12,150,138,200,
25,25,P00009_C,P000,0,9,C,25,C1,Yr1,531358,2841220.2,3/20/2012,Ridge,,12,,,12,152,140,200,
26,26,P00009_E,P000,0,9,E,26,C1,Yr1,531390.1,2841209.1,3/20/2012,Ridge,,11,,,11,152,141,200,
27,27,P00009_N,P000,0,9,N,27,C1,Yr1,531361.9,2841231.5,3/20/2012,Ridge,,0,,,0,152,152,200,
28,28,P00010_C,P000,0,10,C,28,C1,Yr1,531241,2841050.2,3/20/2012,Slough/Wet Prairie,,20,,,20,150,130,0,
29,29,P00010_E,P000,0,10,E,29,C1,Yr1,531246.7,2841048.2,3/20/2012,Slough/Wet Prairie,,16,,,16,150,134,0,
30,30,P00010_N,P000,0,10,N,30,C1,Yr1,531244.3,2841059.6,3/20/2012,Slough/Wet Prairie,,19,,,19,150,131,0,
31,31,P00011_C,P000,0,11,C,31,C1,Yr1,531922,2840695.2,3/20/2012,Ridge/Wet Prairie,,19,,,19,148,129,200,
32,32,P00011_E,P000,0,11,E,32,C1,Yr1,531943.7,2840687.7,3/20/2012,Ridge/Wet Prairie,,14,,,14,148,134,200,
33,33,P00011_N,P000,0,11,N,33,C1,Yr1,531923.6,2840699.9,3/20/2012,Ridge/Slough,,22,,,22,148,126,200,
34,34,P00012_C,P000,0,12,C,34,C1,Yr1,531958,2840686.2,3/20/2012,Wet Prairie,,19,,,19,148,129,0,
35,35,P00012_E,P000,0,12,E,35,C1,Yr1,531987.3,2840676.1,3/20/2012,Wet Prairie,,21,,,21,148,127,0,
36,36,P00012_N,P000,0,12,N,36,C1,Yr1,531965.5,2840707.9,3/20/2012,Wet Prairie,,9,,,9,148,139,200,
37,37,P00013_C,P000,0,13,C,37,C1,Yr1,531990,2840591.2,3/20/2012,Ridge,,6,,,6,148,142,200,
38,38,P00013_E,P000,0,13,E,38,C1,Yr1,532008,2840585,3/20/2012,Ridge,,16,,,16,148,132,0,
39,39,P00013_N,P000,0,13,N,39,C1,Yr1,532000.1,2840620.5,3/20/2012,Wet Prairie,,4,,,4,148,144,200,
40,40,P00014_C,P000,0,14,C,40,C1,Yr1,531909,2840845.2,3/20/2012,Wet Prairie,,20,,,20,150,130,0,
41,41,P00014_E,P000,0,14,E,41,C1,Yr1,531935.5,2840836,3/20/2012,Wet Prairie,,19,,,19,150,131,200,
42,42,P00014_N,P000,0,14,N,42,C1,Yr1,531912.9,2840856.5,3/20/2012,Ridge/Wet Prairie,,24,,,24,150,126,0,
43,43,P00015_C,P000,0,15,C,43,C1,Yr1,531794,2840631.2,3/20/2012,Ridge,,10,,,10,148,138,200,
44,44,P00015_E,P000,0,15,E,44,C1,Yr1,531813.9,2840624.3,3/20/2012,Ridge,,12,,,12,148,136,200,
45,45,P00015_N,P000,0,15,N,45,C1,Yr1,531804.1,2840660.5,3/20/2012,Ridge/Wet Prairie,,12,,,12,148,136,200,
46,46,P00021_C,P000,0,21,C,46,C1,Yr1,531247,2842434.2,3/22/2012,Ridge,,5,,,5,157,152,200,
47,47,P00021_E,P000,0,21,E,47,C1,Yr1,531277.3,2842423.7,3/22/2012,Ridge,,4,,,4,157,153,200,
48,48,P00021_N,P000,0,21,N,48,C1,Yr1,531248.6,2842438.9,3/22/2012,Ridge,,3,,,3,157,154,200,
49,49,P00022_C,P000,0,22,C,49,C1,Yr1,531263,2842444.2,3/22/2012,Ridge,,0,,,0,157,157,200,
50,50,P00022_E,P000,0,22,E,50,C1,Yr1,531280,2842438.3,3/22/2012,Ridge,,4,,,4,157,153,200,
51,51,P00022_N,P000,0,22,N,51,C1,Yr1,531273.7,2842475.4,3/22/2012,Ridge,,1,,,1,157,156,200,
52,52,P00023_C,P000,0,23,C,52,C1,Yr1,531282,2842266.2,3/22/2012,Wet Prairie,,15,,,15,154,139,0,
53,53,P00023_E,P000,0,23,E,53,C1,Yr1,531290.5,2842263.2,3/22/2012,Ridge/Wet Prairie,,5,,,5,154,149,200,
54,54,P00023_N,P000,0,23,N,54,C1,Yr1,531292.7,2842297.4,3/22/2012,Ridge/Wet Prairie,,9,,,9,154,145,100,
55,55,P00024_C,P000,0,24,C,55,C1,Yr1,531208,2842536.2,3/22/2012,Ridge/Tree Island,,0,,,0,157,157,100,
56,56,P00024_E,P000,0,24,E,56,C1,Yr1,531235.4,2842526.7,3/22/2012,Ridge/Tree Island,,5,,,5,157,152,300,
57,57,P00024_N,P000,0,24,N,57,C1,Yr1,531218.4,2842566.4,3/22/2012,Ridge,,0,,,0,157,157,200,
58,58,P00025_C,P000,0,25,C,58,C1,Yr1,531183,2842447.1,3/22/2012,Ridge,,4,,,4,156,152,100,
59,59,P00025_E,P000,0,25,E,59,C1,Yr1,531192.5,2842443.9,3/22/2012,Ridge,,8,,,8,156,148,200,
60,60,P00025_N,P000,0,25,N,60,C1,Yr1,531186.9,2842458.5,3/22/2012,Ridge/Wet Prairie,,2,,,2,156,154,100,
61,61,P00026_C,P000,0,26,C,61,C1,Yr1,531899,2842518.2,3/22/2012,Ridge,,6,,,6,157,151,200,
62,62,P00026_E,P000,0,26,E,62,C1,Yr1,531918.9,2842511.3,3/22/2012,Ridge,,2,,,2,157,155,200,
63,63,P00026_N,P000,0,26,N,63,C1,Yr1,531909.7,2842549.4,3/22/2012,Ridge,,0,,,0,157,157,200,
64,64,P00027_C,P000,0,27,C,64,C1,Yr1,532014,2842603.2,3/22/2012,Slough,,22,,,22,158,136,0,
65,65,P00027_E,P000,0,27,E,65,C1,Yr1,532025.3,2842599.2,3/22/2012,Slough,,19,,,19,158,139,0,
66,66,P00027_N,P000,0,27,N,66,C1,Yr1,532024.7,2842634.4,3/22/2012,Wet Prairie,,19,,,19,158,139,0,
67,67,P00028_C,P000,0,28,C,67,C1,Yr1,531931,2842499.2,3/22/2012,Ridge,,3,,,3,157,154,200,
68,68,P00028_E,P000,0,28,E,68,C1,Yr1,531950.9,2842492.3,3/22/2012,Ridge,,5,,,5,157,152,200,
69,69,P00028_N,P000,0,28,N,69,C1,Yr1,531938.5,2842520.9,3/22/2012,Ridge,,11,,,11,157,146,200,
70,70,P00029_C,P000,0,29,C,70,C1,Yr1,531899,2842647.2,3/22/2012,Ridge,,5,,,5,157,152,100,
71,71,P00029_E,P000,0,29,E,71,C1,Yr1,531914.1,2842641.9,3/22/2012,Ridge,,7,,,7,157,150,100,
72,72,P00029_N,P000,0,29,N,72,C1,Yr1,531908.1,2842673.6,3/22/2012,Ridge,,2,,,2,157,155,100,
73,73,P00030_C,P000,0,30,C,73,C1,Yr1,531862,2842515.2,3/22/2012,Ridge/Wet Prairie,,3,,,3,157,154,200,
74,74,P00030_E,P000,0,30,E,74,C1,Yr1,531882.8,2842508,3/22/2012,Ridge,,0,,,0,157,157,200,
75,75,P00030_N,P000,0,30,N,75,C1,Yr1,531864,2842520.8,3/22/2012,Ridge/Tree Island,,7,,,7,157,150,200,
76,76,P00032_C,P000,0,32,C,76,C1,Yr1,532023,2842087.2,3/22/2012,Slough,,23,,,23,155,132,0,
77,77,P00032_E,P000,0,32,E,77,C1,Yr1,532026.8,2842085.8,3/22/2012,Slough,,21,,,21,155,134,0,
78,78,P00032_N,P000,0,32,N,78,C1,Yr1,532031.5,2842111.7,3/22/2012,Wet Prairie,,23,,,23,155,132,0,
79,79,P00033_C,P000,0,33,C,79,C1,Yr1,532522,2841954.2,3/22/2012,Slough,,21,,,21,154,133,0,
80,80,P00033_E,P000,0,33,E,80,C1,Yr1,532546.6,2841945.7,3/22/2012,Slough,,25,,,25,154,129,200,
81,81,P00033_N,P000,0,33,N,81,C1,Yr1,532529.8,2841976.8,3/22/2012,Ridge/Slough,,27,,,27,154,127,0,
82,82,P00034_C,P000,0,34,C,82,C1,Yr1,532493,2842274.2,3/22/2012,Ridge/Slough,,25,,,25,156,131,200,
83,83,P00034_E,P000,0,34,E,83,C1,Yr1,532525.1,2842263.1,3/22/2012,Slough,,23,,,23,156,133,0,
