Cycle,PSUID,Cluster,Plot,PlotID,SPCODE,Cover,Comments
C1,P000,1,C,P00001_C,CLAJAM,80,
C1,P000,1,C,P00001_C,CRIAME,5,
C1,P000,1,E,P00001_E,CLAJAM,80,
C1,P000,1,N,P00001_N,CLAJAM,80,
C1,P000,1,N,P00001_N,CRIAME,10,
C1,P000,2,C,P00002_C,ELECEL,50,
C1,P000,2,C,P00002_C,UTRPUR,10,
C1,P000,2,E,P00002_E,ELECEL,50,
C1,P000,2,E,P00002_E,PANHEM,1,
C1,P000,2,E,P00002_E,SAGLAN,20,
C1,P000,2,E,P00002_E,UTRFOL,30,
C1,P000,2,E,P00002_E,UTRPUR,80,
C1,P000,2,N,P00002_N,ELECEL,60,
C1,P000,2,N,P00002_N,SAGLAN,5,
C1,P000,2,N,P00002_N,UTRFOL,10,
C1,P000,2,N,P00002_N,UTRPUR,70,
C1,P000,3,C,P00003_C,ELECEL,50,
C1,P000,3,C,P00003_C,PANHEM,1,
C1,P000,3,E,P00003_E,ELECEL,30,
C1,P000,3,N,P00003_N,ELECEL,30,
C1,P000,3,N,P00003_N,PANHEM,1,
C1,P000,3,N,P00003_N,SAGLAN,10,
C1,P000,4,C,P00004_C,CLAJAM,90,
C1,P000,4,C,P00004_C,CRIAME,5,
C1,P000,4,E,P00004_E,CLAJAM,90,
C1,P000,4,N,P00004_N,CLAJAM,90,
C1,P000,5,C,P00005_C,CLAJAM,90,
C1,P000,5,C,P00005_C,CRIAME,5,
C1,P000,5,E,P00005_E,CLAJAM,90,
C1,P000,5,E,P00005_E,CRIAME,20,
C1,P000,5,N,P00005_N,BACCAR,5,
C1,P000,5,N,P00005_N,CLAJAM,60,
C1,P000,5,N,P00005_N,PANHEM,1,
C1,P000,6,C,P00006_C,CLAJAM,60,
C1,P000,6,C,P00006_C,ELECEL,10,
C1,P000,6,E,P00006_E,ELECEL,50,
C1,P000,6,E,P00006_E,UTRPUR,10,
C1,P000,6,N,P00006_N,CLAJAM,70,
C1,P000,7,C,P00007_C,CLAJAM,70,
C1,P000,7,C,P00007_C,ELEELO,5,
C1,P000,7,C,P00007_C,NYMAQU,1,
C1,P000,7,E,P00007_E,ELECEL,40,
C1,P000,7,E,P00007_E,ELEELO,30,
C1,P000,7,E,P00007_E,PANHEM,1,
C1,P000,7,N,P00007_N,CLAJAM,20,
C1,P000,7,N,P00007_N,ELECEL,40,
C1,P000,8,C,P00008_C,CLAJAM,90,
C1,P000,8,C,P00008_C,JUSANG,1,
C1,P000,8,E,P00008_E,CLAJAM,80,
C1,P000,8,N,P00008_N,CLAJAM,80,
C1,P000,8,N,P00008_N,ELECEL,5,
C1,P000,8,N,P00008_N,PELVIR,1,
C1,P000,8,N,P00008_N,SALCAR,1,
C1,P000,8,N,P00008_N,UTRFOL,20,
C1,P000,9,C,P00009_C,CLAJAM,80,
C1,P000,9,C,P00009_C,ELECEL,5,
C1,P000,9,C,P00009_C,UTRFOL,5,
C1,P000,9,E,P00009_E,CLAJAM,90,
C1,P000,9,E,P00009_E,PELVIR,1,
C1,P000,9,N,P00009_N,CLAJAM,70,
C1,P000,9,N,P00009_N,ELECEL,10,
C1,P000,10,C,P00010_C,ELECEL,70,
C1,P000,10,C,P00010_C,UTRPUR,60,
C1,P000,10,E,P00010_E,ELECEL,40,
C1,P000,10,E,P00010_E,UTRPUR,80,
C1,P000,10,N,P00010_N,ELECEL,20,
C1,P000,10,N,P00010_N,PANHEM,10,
C1,P000,10,N,P00010_N,UTRPUR,70,
C1,P000,11,C,P00011_C,CLAJAM,40,
C1,P000,11,C,P00011_C,UTRFOL,30,
C1,P000,11,E,P00011_E,CLAJAM,20,
C1,P000,11,E,P00011_E,ELECEL,40,
C1,P000,11,E,P00011_E,UTRFOL,10,
C1,P000,11,E,P00011_E,UTRPUR,30,
C1,P000,11,N,P00011_N,BACCAR,1,
C1,P000,11,N,P00011_N,CLAJAM,30,
C1,P000,11,N,P00011_N,ELEELO,10,
C1,P000,12,C,P00012_C,ELECEL,20,
C1,P000,12,C,P00012_C,ELEELO,10,
C1,P000,12,E,P00012_E,CLAJAM,20,
C1,P000,12,E,P00012_E,ELECEL,10,
C1,P000,12,E,P00012_E,ELEELO,10,
C1,P000,12,N,P00012_N,ELECEL,10,
C1,P000,12,N,P00012_N,ELEELO,15,
C1,P000,12,N,P00012_N,SAGLAN,10,
C1,P000,13,C,P00013_C,CLAJAM,100,
C1,P000,13,C,P00013_C,CRIAME,20,
C1,P000,13,E,P00013_E,CLAJAM,100,
C1,P000,13,N,P00013_N,ELECEL,10,
C1,P000,13,N,P00013_N,ELEELO,5,
C1,P000,13,N,P00013_N,UTRFOL,1,
C1,P000,14,C,P00014_C,ELECEL,40,
C1,P000,14,C,P00014_C,PASGEM,20,
C1,P000,14,E,P00014_E,BACCAR,10,
C1,P000,14,E,P00014_E,ELECEL,30,
C1,P000,14,E,P00014_E,NYMAQU,5,
C1,P000,14,E,P00014_E,UTRPUR,30,
C1,P000,14,N,P00014_N,CLAJAM,80,
C1,P000,14,N,P00014_N,UTRFOL,20,
C1,P000,15,C,P00015_C,CLAJAM,30,
C1,P000,15,E,P00015_E,CLAJAM,90,
C1,P000,15,N,P00015_N,CLAJAM,40,
C1,P000,15,N,P00015_N,ELEELO,5,
C1,P000,21,C,P00021_C,CLAJAM,90,
C1,P000,21,E,P00021_E,CLAJAM,90,
C1,P000,21,N,P00021_N,CLAJAM,50,
C1,P000,22,C,P00022_C,CLAJAM,90,
C1,P000,22,C,P00022_C,CRIAME,5,
C1,P000,22,E,P00022_E,CLAJAM,100,
C1,P000,22,N,P00022_N,CLAJAM,80,
C1,P000,22,N,P00022_N,CRIAME,20,
C1,P000,23,C,P00023_C,ELECEL,10,
C1,P000,23,C,P00023_C,UTRFOL,5,
C1,P000,23,E,P00023_E,CLAJAM,20,
C1,P000,23,E,P00023_E,ELECEL,5,
C1,P000,23,E,P00023_E,UTRFOL,5,
C1,P000,23,N,P00023_N,CLAJAM,80,
C1,P000,23,N,P00023_N,ELECEL,10,
C1,P000,24,C,P00024_C,CEPOCC,5,
C1,P000,24,C,P00024_C,CLAJAM,60,
C1,P000,24,E,P00024_E,AESPRA,5,
C1,P000,24,E,P00024_E,ANNGLA,30,
C1,P000,24,E,P00024_E,CEPOCC,30,
C1,P000,24,E,P00024_E,CLAJAM,70,
C1,P000,24,E,P00024_E,IPOSPP,5,
C1,P000,24,N,P00024_N,CLAJAM,100,
C1,P000,25,C,P00025_C,CLAJAM,50,
C1,P000,25,C,P00025_C,CRIAME,1,
C1,P000,25,E,P00025_E,BACCAR,1,
C1,P000,25,E,P00025_E,CLAJAM,70,
C1,P000,25,E,P00025_E,CRIAME,30,
C1,P000,25,N,P00025_N,CLAJAM,90,
C1,P000,25,N,P00025_N,CRIAME,10,
C1,P000,25,N,P00025_N,ELECEL,10,
C1,P000,26,C,P00026_C,CLAJAM,70,
C1,P000,26,E,P00026_E,CEPOCC,70,
C1,P000,26,E,P00026_E,CLAJAM,5,
C1,P000,26,E,P00026_E,ELECEL,10,
C1,P000,26,N,P00026_N,CLAJAM,80,
C1,P000,27,C,P00027_C,ELECEL,10,
C1,P000,27,C,P00027_C,ELEELO,20,
C1,P000,27,C,P00027_C,SAGLAN,10,
C1,P000,27,E,P00027_E,ELECEL,10,
C1,P000,27,E,P00027_E,ELEELO,20,
C1,P000,27,N,P00027_N,ELECEL,10,
C1,P000,27,N,P00027_N,ELEELO,10,
C1,P000,27,N,P00027_N,PANHEM,20,
C1,P000,27,N,P00027_N,UTRFOL,10,
C1,P000,28,C,P00028_C,BACCAR,20,
C1,P000,28,C,P00028_C,CLAJAM,30,
C1,P000,28,C,P00028_C,CRIAME,30,
C1,P000,28,C,P00028_C,PANHEM,5,
C1,P000,28,C,P00028_C,PLUBAC,5,
C1,P000,28,C,P00028_C,UTRFOL,10,
C1,P000,28,E,P00028_E,CLAJAM,80,
C1,P000,28,E,P00028_E,ELECEL,1,
C1,P000,28,E,P00028_E,NYMAQU,5,
C1,P000,28,N,P00028_N,CLAJAM,90,
C1,P000,29,C,P00029_C,CLAJAM,50,
C1,P000,29,E,P00029_E,BACCAR,5,
C1,P000,29,E,P00029_E,CLAJAM,30,
C1,P000,29,N,P00029_N,CLAJAM,40,
C1,P000,30,C,P00030_C,BACCAR,20,
C1,P000,30,C,P00030_C,CLAJAM,50,
C1,P000,30,C,P00030_C,IPOSPP,10,
C1,P000,30,E,P00030_E,BACCAR,5,
C1,P000,30,E,P00030_E,CLAJAM,90,
C1,P000,30,N,P00030_N,BACCAR,1,
C1,P000,30,N,P00030_N,CEPOCC,50,
C1,P000,30,N,P00030_N,CLAJAM,60,
C1,P000,30,N,P00030_N,JUSANG,1,
C1,P000,30,N,P00030_N,PERHYD,5,Changed to PERHYD
C1,P000,32,C,P00032_C,ELECEL,20,
C1,P000,32,C,P00032_C,ELEELO,10,
C1,P000,32,C,P00032_C,SAGLAN,5,
C1,P000,32,E,P00032_E,ELECEL,10,
C1,P000,32,E,P00032_E,ELEELO,10,
C1,P000,32,E,P00032_E,PASGEM,1,
C1,P000,32,N,P00032_N,ELECEL,30,
C1,P000,32,N,P00032_N,ELEELO,10,
C1,P000,32,N,P00032_N,PASGEM,20,
C1,P000,33,C,P00033_C,ELECEL,10,
C1,P000,33,C,P00033_C,ELEELO,10,
C1,P000,33,E,P00033_E,ELECEL,20,
C1,P000,33,E,P00033_E,ELEELO,5,
C1,P000,33,E,P00033_E,UTRFOL,20,
C1,P000,33,N,P00033_N,CLAJAM,40,
C1,P000,33,N,P00033_N,ELECEL,30,
C1,P000,33,N,P00033_N,ELEELO,5,
C1,P000,34,C,P00034_C,CLAJAM,70,
C1,P000,34,C,P00034_C,ELECEL,40,
C1,P000,34,C,P00034_C,ELEELO,30,
C1,P000,34,E,P00034_E,ELECEL,40,
C1,P000,34,E,P00034_E,UTRFOL,10,
C1,P000,34,N,P00034_N,ELECEL,10,
C1,P000,34,N,P00034_N,ELEELO,10,
C1,P000,34,N,P00034_N,UTRFOL,30,
C1,P000,35,C,P00035_C,CLAJAM,30,
C1,P000,35,C,P00035_C,CRIAME,10,
C1,P000,35,C,P00035_C,ELEELO,5,
C1,P000,35,E,P00035_E,CLAJAM,30,
C1,P000,35,E,P00035_E,ELEELO,5,
C1,P000,35,N,P00035_N,CLAJAM,30,
C1,P000,37,C,P00037_C,CLAJAM,20,
C1,P000,37,C,P00037_C,CRIAME,20,
C1,P000,37,E,P00037_E,CLAJAM,30,
C1,P000,37,E,P00037_E,CRIAME,5,
C1,P000,37,E,P00037_E,ELEELO,5,
C1,P000,37,E,P00037_E,UTRFOL,5,
C1,P000,37,N,P00037_N,ELECEL,10,
C1,P000,37,N,P00037_N,ELEELO,10,
C1,P000,41,C,P00041_C,CLAJAM,30,
C1,P000,41,E,P00041_E,AESPRA,1,
C1,P000,41,E,P00041_E,CLAJAM,10,
C1,P000,41,E,P00041_E,CRIAME,5,
C1,P000,41,E,P00041_E,ELECEL,10,
C1,P000,41,N,P00041_N,CLAJAM,40,
C1,P000,41,N,P00041_N,IPOSPP,10,
C1,P000,41,N,P00041_N,UTRFOL,5,
C1,P000,42,C,P00042_C,CLAJAM,30,
C1,P000,42,C,P00042_C,JUSANG,10,
C1,P000,42,E,P00042_E,CLAJAM,30,
C1,P000,42,N,P00042_N,CLAJAM,50,
C1,P000,42,N,P00042_N,IPOSPP,10,
C1,P000,42,N,P00042_N,TYPDOM,10,
C1,P000,43,C,P00043_C,CLAJAM,30,
C1,P000,43,C,P00043_C,IPOSPP,10,
C1,P000,43,C,P00043_C,PELVIR,1,
C1,P000,43,E,P00043_E,CLAJAM,20,
C1,P000,43,E,P00043_E,IPOSPP,5,
C1,P000,43,E,P00043_E,TYPDOM,10,
C1,P000,43,N,P00043_N,CLAJAM,30,
C1,P000,43,N,P00043_N,IPOSPP,5,
C1,P000,43,N,P00043_N,TYPDOM,10,
C1,P000,44,C,P00044_C,CLAJAM,50,
C1,P000,44,C,P00044_C,JUSANG,5,
C1,P000,44,C,P00044_C,PANHEM,1,
C1,P000,44,E,P00044_E,CLAJAM,80,
C1,P000,44,E,P00044_E,ELECEL,5,
C1,P000,44,E,P00044_E,JUSANG,5,
C1,P000,44,E,P00044_E,UTRFOL,5,
C1,P000,44,N,P00044_N,CLAJAM,20,
C1,P000,45,C,P00045_C,CLAJAM,50,
C1,P000,45,C,P00045_C,ELECEL,10,
C1,P000,45,E,P00045_E,CLAJAM,20,
C1,P000,45,E,P00045_E,ELECEL,10,
C1,P000,45,N,P00045_N,CLAJAM,30,
C1,P000,46,C,P00046_C,CLAJAM,15,
C1,P000,46,C,P00046_C,ELECEL,60,
C1,P000,46,C,P00046_C,UTRFOL,15,
C1,P000,46,E,P00046_E,CLAJAM,50,
C1,P000,46,N,P00046_N,CLAJAM,10,
C1,P000,46,N,P00046_N,ELECEL,80,
C1,P000,46,N,P00046_N,JUSANG,5,
