"","SPCODE","freq"
"1","ACRDAN",14
"2","AESPRA",134
"3","AGALIN",46
"4","AGAPUR",1
"5","ALEBRA",3
"6","AMAAUS",4
"7","AMAVIR",1
"8","AMPCAR",4
"9","ANDGLO",29
"10","ANDSPP",4
"11","ANDVIR",11
"12","ANEADI",1
"13","ANNGLA",57
"14","ARIPUR",23
"15","ASCLAN",4
"16","ASTDUM",1
"17","ASTSPP",2
"18","ASTTEN",53
"19","BACCAR",2803
"20","BACHAL",2
"21","BACMON",7
"22","BIDLAE",1
"23","BIDMIT",4
"24","BLESER",261
"25","BOECYL",4
"26","BUCAME",1
"27","CASFIL",161
"28","CENASI",161
"29","CEPOCC",1051
"30","Chara",1
"31","CHARA",825
"32","CHIALB",1
"33","CHRICA",36
"34","CIRHOR",3
"35","CLAJAM",17539
"36","COERUG",1
"37","COLRIG",1
"38","CONERE",13
"39","CRIAME",1870
"40","CYPESC",4
"41","CYPHAS",16
"42","CYPODO",2
"43","CYPSPP",12
"44","DICDIC",59
"45","DICSPP",49
"46","DIOVIR",20
"47","DYSANG",1
"48","ELEBAL",10
"49","ELECEL",6589
"50","ELEELO",1441
"51","ELEGEN",8
"52","ELEINT",56
"53","ELESPP",447
"54","ERAELL",28
"55","EREHIE",2
"56","ERICOM",5
"57","ERISPP",25
"58","EUPCAP",7
"59","EUPLEP",9
"60","EUPMIK",6
"61","FICAUR",1
"62","FUIBRE",72
"63","FUISCI",29
"64","FUNCLA",4
"65","HABREP",5
"66","HELPIN",6
"67","HELPOL",1
"68","HIBGRA",1
"69","HYDCOR",60
"70","HYDUMB",10
"71","HYMLAT",198
"72","HYMPAL",687
"73","HYMTRI",1
"74","HYPALA",36
"75","HYPBRA",2
"76","HYPMYR",1
"77","HYPSPP",12
"78","ILECAS",26
"79","IPOSAG",330
"80","IPOSPP",14
"81","IVAMIC",14
"82","JACCUR",2
"83","JUSANG",1493
"84","KOSPEN",16
"85","LEEHEX",589
"86","LINMED",1
"87","LOBGLA",3
"88","LUDALA",66
"89","LUDCUR",1
"90","LUDMIC",21
"91","LUDOCT",8
"92","LUDPER",1
"93","LUDPIL",2
"94","LUDREP",69
"95","LUDSPP",34
"96","LYGMIC",59
"97","MAGVIR",5
"98","MELQUI",23
"99","METTOX",2
"100","MIKSCA",190
"101","MITPET",14
"102","MORCER",257
"103","MUHCAP",147
"104","MYRHET",5
"105","NEPBIS",9
"106","NUPADV",45
"107","NYMAQU",1367
"108","NYMODO",6549
"109","NYMSPP",1
"110","OSMREG",133
"111","OXYFIL",55
"112","PANDIC",3
"113","PANHEM",2632
"114","PANRIG",11
"115","PANSPP",200
"116","PANTEN",158
"117","PANVIR",174
"118","PASGEM",1307
"119","PASMON",16
"120","PASPAL",3
"121","PELVIR",1080
"122","PERBOR",164
"123","PERHIR",1
"124","PERHYD",270
"125","PERPAL",6
"126","PERSET",74
"127","PERSPP",3
"128","PHLAUR",2
"129","PHRAUS",2
"130","PHYNOD",8
"131","PHYSTO",1
"132","PISSTR",6
"133","PLEPAR",3
"134","PLUBAC",305
"135","PLUSPP",34
"136","POLSPP",6
"137","PONCOR",1360
"138","POTILL",160
"139","PROPAL",81
"140","PSINUD",1
"141","PTEAQU",11
"142","RANACU",2
"143","RHYCOL",17
"144","RHYDIV",8
"145","RHYINT",1
"146","RHYINU",364
"147","RHYMIC",189
"148","RHYNIT",2
"149","RHYSPP",14
"150","RHYTRA",1016
"151","SABGRA",1
"152","SABPAL",1
"153","SACGIG",33
"154","SAGLAn",1
"155","SAGLAN",2096
"156","SAGLAT",76
"157","SALCAR",260
"158","SALMIN",9
"159","SALMOL",2
"160","SALSPP",5
"161","SAMEBR",5
"162","SARCLA",32
"163","SCHNIG",72
"164","SCHRHI",254
"165","SCHTER",8
"166","SCISPP",1
"167","SCLVER",1
"168","SETMAG",2
"169","SETPAR",9
"170","SMIBON",7
"171","SMILAU",5
"172","SMISPP",1
"173","SPABAK",3
"174","SPIODO",1
"175","SYMDUM",7
"176","SYMTEN",1
"177","TAXDIS",7
"178","TEUCAN",3
"179","THAGEN",8
"180","THEINT",34
"181","THEKUN",1
"182","THEPAL",2
"183","TYPDOM",3022
"184","UNKC3Y11",5
"185","UNKC3Y21",8
"186","UNKC3Y22",1
"187","UNKC3Y31",1
"188","UNKC3Y41",1
"189","UNKC3Y42",1
"190","UNKC3Y51",1
"191","UNKC3Y52",1
"192","UNKC3Y53",1
"193","UNKC3Y54",1
"194","UNKSP1",23
"195","UNKSP2",5
"196","UNKSP3",2
"197","UNKSP4",5
"198","UNKSP5",3
"199","UNKSPP",19
"200","UNKTR1",1
"201","UNKX10",1
"202","UNKX11",1
"203","UNKX12",1
"204","UNKX13",1
"205","UNKXX1",23
"206","UNKXX2",18
"207","UNKXX3",23
"208","UNKXX4",25
"209","UNKXX5",25
"210","UNKXX6",7
"211","UNKXX7",5
"212","UNKXX8",1
"213","UNKXX9",1
"214","UTRCOR",80
"215","UTRFOL",2994
"216","UTRGIB",79
"217","UTRPUR",6812
"218","UTRSPP",261
"219","VERBLO",1
"220","VICACU",2
"221","VITROT",3
"222","WOOVIR",7
"223","XXXXXX",507
"224","XYRCAR",12
"225","XYRJUP",4
"226","XYRSPP",42
