PSU_CY,PSU_CY_YR,PSU_ID,PSU,PLOT,CLUS,POINT,EAST_UTM_NAD83,NORTH_UTM_NAD83,SampDate,WD1,WD2,WD3,WD_MN,CLAJAM_HT,HABITAT_L2,DATASHEET,EDENWSE,SOILDEP,GR_ELEV,BR_ELEV,SOILDEP_corr,MAP_CLASS,MAP_CLASS_corr,OBSERVER
C1,1,0,P000,01_C,1,C,531070,2841021,3/20/2012,5,NA,NA,5,2,Ridge,NA,151,NA,146,NA,NA,NA,NA,NA
C1,1,0,P000,01_E,1,E,531079,2841018,3/22/2012,7,NA,NA,7,2,Ridge,NA,150,NA,143,NA,NA,NA,NA,NA
C1,1,0,P000,01_N,1,N,531075,2841035,3/20/2012,9,NA,NA,9,2,Ridge,NA,151,NA,142,NA,NA,NA,NA,NA
C1,1,0,P000,02_C,2,C,531156,2841083,3/20/2012,17,NA,NA,17,0,Slough/Wet Prairie,NA,151,NA,134,NA,NA,NA,NA,NA
C1,1,0,P000,02_E,2,E,531174,2841077,3/20/2012,25,NA,NA,25,0,Slough/Wet Prairie,NA,151,NA,126,NA,NA,NA,NA,NA
C1,1,0,P000,02_N,2,N,531158,2841088,3/20/2012,21,NA,NA,21,0,Slough/Wet Prairie,NA,151,NA,130,NA,NA,NA,NA,NA
C1,1,0,P000,03_C,3,C,531144,2840874,3/20/2012,15,NA,NA,15,0,Wet Prairie,NA,151,NA,136,NA,NA,NA,NA,NA
C1,1,0,P000,03_E,3,E,531151,2840872,3/20/2012,18,NA,NA,18,0,Wet Prairie,NA,151,NA,133,NA,NA,NA,NA,NA
C1,1,0,P000,03_N,3,N,531146,2840879,3/20/2012,13,NA,NA,13,0,Wet Prairie,NA,151,NA,138,NA,NA,NA,NA,NA
C1,1,0,P000,04_C,4,C,531040,2841163,3/20/2012,8,NA,NA,8,2,Ridge,NA,151,NA,143,NA,NA,NA,NA,NA
C1,1,0,P000,04_E,4,E,531063,2841155,3/20/2012,5,NA,NA,5,2,Ridge,NA,151,NA,146,NA,NA,NA,NA,NA
C1,1,0,P000,04_N,4,N,531046,2841181,3/20/2012,6,NA,NA,6,2,Ridge,NA,151,NA,145,NA,NA,NA,NA,NA
C1,1,0,P000,05_C,5,C,531064,2841001,3/20/2012,6,NA,NA,6,2,Ridge,NA,151,NA,145,NA,NA,NA,NA,NA
C1,1,0,P000,05_E,5,E,531076,2840997,3/20/2012,3,NA,NA,3,2,Ridge,NA,151,NA,148,NA,NA,NA,NA,NA
C1,1,0,P000,05_N,5,N,531070,2841019,3/20/2012,6,NA,NA,6,2,Ridge,NA,151,NA,145,NA,NA,NA,NA,NA
C1,1,0,P000,06_C,6,C,531328,2841056,3/20/2012,20,NA,NA,20,2,Ridge/Wet Prairie,NA,152,NA,132,NA,NA,NA,NA,NA
C1,1,0,P000,06_E,6,E,531351,2841048,3/20/2012,14,NA,NA,14,2,Wet Prairie,NA,152,NA,138,NA,NA,NA,NA,NA
C1,1,0,P000,06_N,6,N,531335,2841076,3/20/2012,22,NA,NA,22,0,Ridge,NA,152,NA,130,NA,NA,NA,NA,NA
C1,1,0,P000,07_C,7,C,531429,2841151,3/20/2012,22,NA,NA,22,2,Ridge,NA,152,NA,130,NA,NA,NA,NA,NA
C1,1,0,P000,07_E,7,E,531439,2841148,3/20/2012,14,NA,NA,14,2,Wet Prairie,NA,152,NA,138,NA,NA,NA,NA,NA
C1,1,0,P000,07_N,7,N,531430,2841155,3/20/2012,16,NA,NA,16,0,Wet Prairie,NA,152,NA,136,NA,NA,NA,NA,NA
C1,1,0,P000,08_C,8,C,531424,2840984,3/20/2012,14,NA,NA,14,2,Ridge,NA,152,NA,138,NA,NA,NA,NA,NA
C1,1,0,P000,08_E,8,E,531428,2840983,3/20/2012,5,NA,NA,5,2,Ridge,NA,152,NA,147,NA,NA,NA,NA,NA
