HABITAT,simplified name,very simple
-999,NA,NA
0,NA,NA
Airboat trail,Airboat trail,Airboat trail
Bare Area,Bare Area,Bare Area
Cattail,Cattail,Cattail
Cattail/Slough,Cattail/Slough,Slough
Cattail/Wet Prairie,Cattail/Wet Prairie,Wet Prairie
Cypress Forest,Cypress Forest,Cypress Forest
Floating Mat,Floating Mat,Floating Mat
NA,NA,NA
Open Marsh,Ridge,Ridge
Other,Other,Other
Ridge,Ridge,Ridge
Ridge (Trail),Ridge,Ridge
Ridge/Cattail,Ridge/Cattail,Ridge
Ridge/Edge,Ridge transition,Transition
Ridge/Slough,Ridge transition,Transition
Ridge/Transition,Ridge transition,Transition
Ridge/Tree Island,Ridge/Tree Island,Ridge
Ridge/Wet Prairie,Ridge/Wet Prairie,Ridge
Rockland,Rockland,Rockland
Rocky/Ridge,Ridge,Ridge
Rocky/Wet Prairie,Wet Prairie,Wet Prairie
Slough,Slough,Slough
Slough (Trail),Slough,Slough
Slough/Cattail,Slough/Cattail,Slough
Slough/Ridge,Slough transition,Transition
Slough/Transition,Slough transition,Transition
Slough/Tree Island,Slough/Tree Island,Slough
Slough/Wet Prairie,Slough/Wet Prairie,Slough
Transition,Transition,Transition
Transition (Trail),Transition,Transition
Tree Island,Tree Island,Tree Island
Tree Island/Cattail,Tree Island/Cattail,Tree Island
Tree Island/Ridge,Ridge/Tree Island,Tree Island
Tree Island/Wet Prairie,Tree Island/Wet Prairie,Tree Island
Unknown,UK,UK
Water,Open Water,Open Water
Wet Prairie,Wet Prairie,Wet Prairie
Wet Prairie/Slough,Wet Prairie/Slough,Wet Prairie
Wet Prairie/Tree Island,Wet Prairie/Tree Island,Wet Prairie
Wet Prarie/Slough,Wet Prarie/Slough,Wet Prairie
XXXXXX,NA,NA
