"","Cycle","SPCODE","habitat","N","Cover","sd","se","ci"
"1","C1","CLAJAM","ridge",56,38.9821428571429,30.362950552174,4.05741993634978,8.13125125705516
"2","C1","CLAJAM","slough",43,36.4186046511628,28.8569811295535,4.40064836637186,8.88086794871293
"3","C1","CLAJAM","trans",24,25.8333333333333,24.8327740429189,5.06896877524852,10.4859608338944
"4","C1","ELECEL","ridge",56,19.9107142857143,26.9425495086485,3.60034962098418,7.21526187595041
"5","C1","ELECEL","slough",43,15.2790697674419,16.8244798708188,2.56570912688956,5.1778106437301
"6","C1","ELECEL","trans",24,22.0833333333333,14.7380509202383,3.00839204647832,6.22333310207151
"7","C1","NYMAQU","ridge",56,0,0,0,0
"8","C1","NYMAQU","slough",43,0,0,0,0
"9","C1","NYMAQU","trans",24,0,0,0,0
"10","C1","NYMODO","ridge",56,0,0,0,0
"11","C1","NYMODO","slough",43,0.0232558139534884,0.152498570332605,0.0232558139534884,0.0469321326236848
"12","C1","NYMODO","trans",24,0,0,0,0
"13","C1","TYPDOM","ridge",56,5,14.2701213602535,1.90692517849118,3.82156345607798
"14","C1","TYPDOM","slough",43,0,0,0,0
"15","C1","TYPDOM","trans",24,0,0,0,0
"16","C1","UTRPUR","ridge",56,0.732142857142857,2.59713878530391,0.347057268589624,0.695518308619616
"17","C1","UTRPUR","slough",43,2.6046511627907,6.56520240461104,1.00118398064736,2.02047107249938
"18","C1","UTRPUR","trans",24,1.29166666666667,4.47679200618776,0.913821341644221,1.89038347295566
"19","C3","CLAJAM","ridge",68,17.2941176470588,17.7478683382855,2.15224517024431,4.29589933971824
"20","C3","CLAJAM","slough",43,8.27906976744186,7.18571857889081,1.09581181009328,2.21143776368162
"21","C3","CLAJAM","trans",24,10.0833333333333,8.87554856438973,1.81171376417055,3.74781546615235
"22","C3","ELECEL","ridge",68,19.9411764705882,26.9010804604303,3.26223518181157,6.51144867569112
"23","C3","ELECEL","slough",43,21.2325581395349,17.1614701464014,2.61709966213188,5.28152094260069
"24","C3","ELECEL","trans",25,26.8,15.6710986638887,3.13421973277773,6.46871159830614
"25","C3","NYMAQU","ridge",68,0.588235294117647,3.71859102717581,0.450945399515292,0.900090784641798
"26","C3","NYMAQU","slough",43,0.627906976744186,2.72574372388225,0.415672020985114,0.838860099923622
"27","C3","NYMAQU","trans",24,1.66666666666667,5.03610155185335,1.02798992457327,2.1265591809026
"28","C3","NYMODO","ridge",68,0.294117647058824,2.42535625036333,0.294117647058824,0.587061280595675
"29","C3","NYMODO","slough",43,0,0,0,0
"30","C3","NYMODO","trans",24,0,0,0,0
"31","C3","TYPDOM","ridge",68,9.36764705882353,19.5889889964598,2.37551384504312,4.74154547980881
"32","C3","TYPDOM","slough",43,0.116279069767442,0.762492851663023,0.116279069767442,0.234660663118424
"33","C3","TYPDOM","trans",24,0.0416666666666667,0.204124145231932,0.0416666666666667,0.0861940671007937
"34","C3","UTRPUR","ridge",68,3.38235294117647,8.39514680654389,1.01806108899845,2.03205843854899
"35","C3","UTRPUR","slough",43,13.2093023255814,18.6835274271404,2.84921122140892,5.74994103339034
"36","C3","UTRPUR","trans",24,10.8333333333333,15.1561916366723,3.09374466280709,6.3998984414092
