"","SPCODE","habitat","N","Cover","sd","se","ci"
"1","CLAJAM","ridge",239,56.8953974895397,24.8210727205091,1.60554172481195,3.16288754276919
"2","CLAJAM","slough",31,24.1612903225806,24.3613037064844,4.37541930996912,8.9357983415185
"3","CLAJAM","trans",1,5,NA,NA,NA
"4","ELECEL","ridge",60,11.6333333333333,12.626266228385,1.63004396091055,3.26171043186269
"5","ELECEL","slough",82,19.109756097561,16.9676570310978,1.87376425985873,3.72820312122326
"6","ELECEL","trans",3,24.3333333333333,19.1398362932741,11.0503896361672,47.5459891328499
"7","NYMAQU","ridge",2,7.5,3.53553390593274,2.5,31.7655118404367
"8","NYMAQU","slough",21,9.61904761904762,7.59918542000516,1.65827820986564,3.4591077311772
"9","NYMODO","ridge",3,18.3333333333333,18.9296944860009,10.92906420717,47.0239679445871
"10","NYMODO","slough",11,16,10.295630140987,3.10424928708434,6.91669844280331
"11","NYMODO","trans",1,65,NA,NA,NA
"12","TYPDOM","ridge",3,11.6666666666667,7.63762615825973,4.40958551844098,18.9729151679838
"13","UTRPUR","ridge",19,20.7894736842105,15.1605443590643,3.47806741001195,7.30714847913818
"14","UTRPUR","slough",33,26.8484848484848,20.3471761126102,3.54198872300095,7.21479493204031
"15","UTRPUR","trans",1,25,NA,NA,NA
